#: table_doi: 10.17182/hepdata.105278.v1/t55
#: name: Figure 14 (b,C,data)
#: description: Dijet asymmetries for the same topological bins in 510 GeV pp collisions (b,C,data)
#: data_file: fig14_b_data_C_input_yaml.yaml
#: keyword cmenergies: 510.0
#: Parton DiJet $M_{inv}$ [$GeV/c^{2}$],,,DiJet $A_{LL}$,b, C, data
Parton DiJet $M_{inv}$ [$GeV/c^{2}$],Parton DiJet $M_{inv}$ [$GeV/c^{2}$] LOW,Parton DiJet $M_{inv}$ [$GeV/c^{2}$] HIGH,DiJet $A_{LL}$,stat +,stat -,sys +,sys -,UE/RL sys +,UE/RL sys -
19.810000000000002,19,20.62,0.0058,0.0085,-0.0085,0.0002,-0.0002,0.00026,-0.00026
22.009999999999998,20.89,23.13,-0.0006,0.0066,-0.0066,0.0006,-0.0006,0.00063,-0.00063
26.159999999999997,25.08,27.24,-0.0043,0.0062,-0.0062,0.0004,-0.0004,0.00074,-0.00074
32.7,31.51,33.89,0.0049,0.0065,-0.0065,0.0006,-0.0006,0.00078,-0.00078
38.709999999999994,37.37,40.05,0.0046,0.0077,-0.0077,0.0007,-0.0007,0.00081,-0.00081
46.01,44.65,47.37,0.0155,0.0079,-0.0079,0.0006,-0.0006,0.00052,-0.00052
53.89,52.11,55.67,-0.0045,0.0098,-0.0098,0.0012,-0.0012,0.00053,-0.00053
64.75,63.01,66.49,0.0104,0.0127,-0.0127,0.0014,-0.0014,0.00041,-0.00041
77.15,74.88,79.42,0.0346,0.0192,-0.0192,0.0019,-0.0019,0.00041,-0.00041
91.14,88.56,93.72,0.0593,0.0294,-0.0294,0.0073,-0.0073,0.00041,-0.00041

