	$\alpha/\beta$	prev Min	prev Max	next Min	next Max
$\Sigma$	$\alpha$	1.0	1.25	1.0507869847421853	1.197
	$\beta$	1.45	2.83	1.478	2.699
$g$	$\alpha$	0.91	1.31	0.9525767074835672	1.245
	$\beta$	0.05	5.9	0.131	5.849
$V$	$\alpha$	0.51	0.75	0.544	0.742
	$\beta$	1.22	2.94	1.191	2.762
$V3$	$\alpha$	0.34	0.68	0.226	0.576
	$\beta$	1.35	3.31	1.365	3.091
$V8$	$\alpha$	0.52	0.76	0.541	0.748
	$\beta$	0.87	3.56	0.788	3.553
$T3$	$\alpha$	-0.27	1.35	-0.425	1.529
	$\beta$	1.72	3.21	1.75	3.413
$T8$	$\alpha$	0.53	1.44	0.564	1.294
	$\beta$	1.45	3.26	1.454	3.043
$c^+$	$\alpha$	0.26	1.18	0.149	1.189
	$\beta$	1.83	5.67	1.872	6.431
