	$\alpha/\beta$	prev Min	prev Max	next Min	next Max
$\Sigma$	$\alpha$	1.05	1.19	1.057105678006031	1.173
	$\beta$	1.47	2.7	1.431	2.632
$g$	$\alpha$	0.94	1.25	1.0224317476994076	1.231
	$\beta$	0.11	5.87	0.071	6.076
$V$	$\alpha$	0.54	0.75	0.545	0.729
	$\beta$	1.15	2.76	1.177	2.836
$V3$	$\alpha$	0.21	0.57	0.124	0.525
	$\beta$	1.35	3.08	1.067	3.082
$V8$	$\alpha$	0.52	0.76	0.554	0.719
	$\beta$	0.77	3.56	0.902	3.154
$T3$	$\alpha$	-0.37	1.52	-0.296	1.394
	$\beta$	1.74	3.39	1.706	3.165
$T8$	$\alpha$	0.56	1.29	0.599	1.23
	$\beta$	1.45	3.03	1.415	3.079
$c^+$	$\alpha$	0.12	1.19	-0.006	1.103
	$\beta$	1.83	6.7	1.658	7.563
