binx,val
11.0,0.002
12.0,0.003
13.0,0.006
14.0,0.009
15.0,0.009
16.0,1.0
17.0,0.012
18.0,0.011
19.0,0.007
20.0,0.004
21.0,0.002
22.0,0.002
-,17.0
1.0,0.003
2.0,0.006
3.0,0.007
4.0,0.01
5.0,0.016
6.0,0.033
7.0,0.019
8.0,0.015
9.0,0.009
10.0,0.004
11.0,0.002
12.0,0.003
13.0,0.004
14.0,0.007
15.0,0.008
16.0,0.012
17.0,1.0
18.0,0.015
19.0,0.01
20.0,0.006
21.0,0.004
22.0,0.001
-,18.0
1.0,0.005
2.0,0.009
3.0,0.008
4.0,0.01
5.0,0.017
6.0,0.026
7.0,0.04
8.0,0.026
9.0,0.017
10.0,0.008
11.0,0.004
12.0,0.004
13.0,0.008
14.0,0.01
15.0,0.008
16.0,0.011
17.0,0.015
18.0,1.0
19.0,0.017
20.0,0.01
21.0,0.007
22.0,0.003
-,19.0
1.0,0.002
2.0,0.004
3.0,0.004
4.0,0.005
5.0,0.011
6.0,0.018
7.0,0.024
8.0,0.05
9.0,0.026
10.0,0.016
11.0,0.006
12.0,0.002
13.0,0.003
14.0,0.005
15.0,0.004
16.0,0.007
17.0,0.01
18.0,0.017
19.0,1.0
20.0,0.015
21.0,0.011
22.0,0.005
-,20.0
1.0,0.001
2.0,0.003
3.0,0.002
4.0,0.003
5.0,0.007
6.0,0.011
7.0,0.016
8.0,0.026
9.0,0.046
10.0,0.026
11.0,0.013
12.0,0.001
13.0,0.002
14.0,0.004
15.0,0.002
16.0,0.004
17.0,0.006
18.0,0.01
19.0,0.015
20.0,1.0
21.0,0.017
22.0,0.008
-,21.0
1.0,0.002
2.0,0.004
3.0,0.002
4.0,0.003
5.0,0.005
6.0,0.008
7.0,0.011
8.0,0.02
9.0,0.032
10.0,0.048
11.0,0.028
12.0,0.002
13.0,0.003
14.0,0.004
15.0,0.003
16.0,0.002
17.0,0.004
18.0,0.007
19.0,0.011
20.0,0.017
21.0,1.0
22.0,0.014
-,22.0
1.0,0.001
2.0,0.002
3.0,0.001
4.0,0.001
5.0,0.002
6.0,0.003
7.0,0.005
8.0,0.009
9.0,0.018
10.0,0.032
11.0,0.04
12.0,0.001
13.0,0.001
14.0,0.002
15.0,0.001
16.0,0.002
17.0,0.001
18.0,0.003
19.0,0.005
20.0,0.008
21.0,0.014
22.0,1.0
