#: table_doi: 10.17182/hepdata.104836.v1/t4
#: name: Table 1 top
#: description: Parton inclusive-jet $p_T$ and $A_{LL}$ values with associated uncertainties for jet-$\eta$ region $0.5<|\eta|<1$.
#: data_file: table_1_top.yaml
#: keyword observables: ASYM
#: keyword reactions: P P --> JET X
#: SQRT(S) [GeV],200
bin,Inclusive jet transverse momentum $p_T$ at the parton level [GeV/$c$],Syst +,Syst -
1.0,6.15,0.19,-0.19
2.0,7.34,0.2,-0.2
3.0,9.5,0.28,-0.28
4.0,11.34,0.28,-0.28
5.0,13.25,0.31,-0.31
6.0,15.47,0.36,-0.36
7.0,18.07,0.37,-0.37
8.0,21.16,0.41,-0.41
9.0,24.68,0.48,-0.48
10.0,28.56,0.53,-0.53
11.0,32.9,0.6,-0.6

#: SQRT(S) [GeV],200
bin,Double spin asymmetry $A_{LL}$,Stat +,Stat -,Syst +,Syst -,Lumi +,Lumi -,Pol +,Pol -
1.0,-0.00021,0.0017,-0.0017,0.0004,-0.0004,0.0007,-0.0007,6.1%,-6.1%
2.0,0.00091,0.0019,-0.0019,0.0004,-0.0004,0.0007,-0.0007,6.1%,-6.1%
3.0,0.00084,0.0012,-0.0012,0.0004,-0.0004,0.0007,-0.0007,6.1%,-6.1%
4.0,0.00333,0.0014,-0.0014,0.0004,-0.0004,0.0007,-0.0007,6.1%,-6.1%
5.0,0.00238,0.0018,-0.0018,0.0004,-0.0004,0.0007,-0.0007,6.1%,-6.1%
6.0,0.00214,0.0025,-0.0025,0.0004,-0.0004,0.0007,-0.0007,6.1%,-6.1%
7.0,0.01141,0.0037,-0.0037,0.0005,-0.0005,0.0007,-0.0007,6.1%,-6.1%
8.0,0.01228,0.0058,-0.0058,0.0006,-0.0006,0.0007,-0.0007,6.1%,-6.1%
9.0,0.02057,0.0099,-0.0099,0.001,-0.001,0.0007,-0.0007,6.1%,-6.1%
10.0,0.05314,0.018,-0.018,0.0013,-0.0013,0.0007,-0.0007,6.1%,-6.1%
11.0,0.02316,0.0357,-0.0357,0.0016,-0.0016,0.0007,-0.0007,6.1%,-6.1%

