		next (Current Fit)	next (Current Fit)
		Min	Max
$\Sigma$	$\alpha$	1.2414599857131445	1.2414599857131445
$\Sigma$	$\beta$	2.396985559434714	2.7169536103636065
$g$	$\alpha$	1.2463629307996946	1.2463629307996946
$g$	$\beta$	2.776080409803352	3.9906838188025646
$V$	$\alpha$	0.7683897683674591	0.8310721531231333
$V$	$\beta$	1.102568102907193	1.324121778196951
$V3$	$\alpha$	0.4051784788856845	0.4883811209029391
$V3$	$\beta$	2.6306195155797716	2.714796581533018
$V8$	$\alpha$	0.8075606161222707	0.830814659567821
$V8$	$\beta$	4.321426154854594	6.57887129981804
$T3$	$\alpha$	0.45147269959762776	0.4602452632795824
$T3$	$\beta$	2.835993859092368	3.0264889736081546
$T8$	$\alpha$	0.813096452086793	0.8444624649588259
$T8$	$\beta$	2.9157129649146416	3.3692310095821085
$c^+$	$\alpha$	0.7282820591787881	0.7908438236837793
$c^+$	$\beta$	6.502209215454711	6.685686620237026
