		prev (Current Fit)	prev (Current Fit)	next (Current Fit)	next (Current Fit)
		Min	Max	Min	Max
$\Sigma$	$\alpha$	1.05	1.19	1.2414599857131445	1.2414599857131445
$\Sigma$	$\beta$	1.47	2.7	2.396985559434714	2.7169536103636065
$g$	$\alpha$	0.94	1.25	1.2463629307996946	1.2463629307996946
$g$	$\beta$	0.11	5.87	2.776080409803352	3.9906838188025646
$V$	$\alpha$	0.54	0.75	0.7683897683674591	0.8310721531231333
$V$	$\beta$	1.15	2.76	1.102568102907193	1.324121778196951
$V3$	$\alpha$	0.21	0.57	0.4051784788856845	0.4883811209029391
$V3$	$\beta$	1.35	3.08	2.6306195155797716	2.714796581533018
$V8$	$\alpha$	0.52	0.76	0.8075606161222707	0.830814659567821
$V8$	$\beta$	0.77	3.56	4.321426154854594	6.57887129981804
$T3$	$\alpha$	-0.37	1.52	0.45147269959762776	0.4602452632795824
$T3$	$\beta$	1.74	3.39	2.835993859092368	3.0264889736081546
$T8$	$\alpha$	0.56	1.29	0.813096452086793	0.8444624649588259
$T8$	$\beta$	1.45	3.03	2.9157129649146416	3.3692310095821085
$c^+$	$\alpha$	0.12	1.19	0.7282820591787881	0.7908438236837793
$c^+$	$\beta$	1.83	6.7	6.502209215454711	6.685686620237026
