	mean	std
u momentum fraction	2.8543186273E-1	2.6E-10
ubar momentum fraction	1.06980945E-4	8.3E-11
d momentum fraction	9.46905987851E-2	8.0E-12
dbar momentum fraction	7.9801768252E-2	7.1E-11
s momentum fraction	1.3785349819E-2	3.1E-11
sbar momentum fraction	2.0427052048E-1	1.8E-10
cp momentum fraction	-2.8873240552E-3	8.1E-12
cm momentum fraction	-1.8391E-8	1.0E-11
g momentum fraction	3.24793984469E-1	4.9E-11
T3	9.10893176E-1	3.6E-8
T8	-7.919202E-2	8.3E-7
