	mean	std
u momentum fraction	1.1322538894E-1	1.2E-10
ubar momentum fraction	6.4725729221E-2	3.1E-11
d momentum fraction	1.7130821799E-2	2.1E-11
dbar momentum fraction	7.5311646502E-2	1.5E-11
s momentum fraction	1.7330500588E-2	2.2E-11
sbar momentum fraction	4.4531325638E-2	3.0E-11
cp momentum fraction	8.7989463292E-2	9.5E-11
cm momentum fraction	8.27E-9	1.8E-10
g momentum fraction	5.88312309109E-1	9.4E-11
T3	6.968943E-1	1.2E-6
T8	4.147914801	1.1E-8
