Bin,Parton Jet $p_T$ [GeV/c],stat +,stat -,sys +,sys -
1.0,5.5,0.0,-0.0,0.79,-0.79
2.0,6.49,0.0,-0.0,0.8,-0.8
3.0,8.25,0.0,-0.0,0.7,-0.7
4.0,10.08,0.0,-0.0,0.67,-0.67
5.0,12.26,0.0,-0.0,0.67,-0.67
6.0,14.78,0.0,-0.0,0.71,-0.71
7.0,17.23,0.0,-0.0,0.77,-0.77
8.0,20.56,0.0,-0.0,0.88,-0.88
9.0,23.61,0.0,-0.0,0.94,-0.94
10.0,27.78,0.0,-0.0,0.98,-0.98
11.0,32.46,0.0,-0.0,1.11,-1.11
