group	dataset	id	data_central	theory_central	rep_00001	rep_00002	rep_00003	rep_00004	rep_00005	rep_00006	rep_00007	rep_00008	rep_00009	rep_00010	rep_00011	rep_00012	rep_00013	rep_00014	rep_00015	rep_00016	rep_00017	rep_00018	rep_00019	rep_00020	rep_00021	rep_00022	rep_00023	rep_00024	rep_00025	rep_00026	rep_00027	rep_00028	rep_00029	rep_00030	rep_00031	rep_00032	rep_00033	rep_00034	rep_00035	rep_00036	rep_00037	rep_00038	rep_00039	rep_00040	rep_00041	rep_00042	rep_00043	rep_00044	rep_00045	rep_00046	rep_00047	rep_00048	rep_00049	rep_00050	rep_00051	rep_00052	rep_00053	rep_00054	rep_00055	rep_00056	rep_00057	rep_00058	rep_00059	rep_00060	rep_00061	rep_00062	rep_00063	rep_00064	rep_00065	rep_00066	rep_00067	rep_00068	rep_00069	rep_00070	rep_00071	rep_00072	rep_00073	rep_00074	rep_00075	rep_00076	rep_00077	rep_00078	rep_00079	rep_00080	rep_00081	rep_00082	rep_00083	rep_00084	rep_00085	rep_00086	rep_00087	rep_00088	rep_00089	rep_00090	rep_00091	rep_00092	rep_00093	rep_00094	rep_00095	rep_00096	rep_00097	rep_00098	rep_00099	rep_00100
SLAC	SLACD	146	0.11571	0.1087413877248764	0.1086389422416687	0.10774651169776917	0.10874328017234802	0.11112716794013977	0.10650783777236938	0.10885438323020935	0.10776826739311218	0.10905516147613525	0.10775965452194214	0.11131972074508667	0.10882002115249634	0.10273227095603943	0.11127591133117676	0.10992872714996338	0.10405460000038147	0.1044958233833313	0.1115119457244873	0.10712149739265442	0.10722455382347107	0.1121157705783844	0.10694488883018494	0.10730546712875366	0.10691970586776733	0.11212947964668274	0.12092038989067078	0.10773903131484985	0.10884347558021545	0.13612627983093262	0.10543081164360046	0.11986580491065979	0.10293242335319519	0.10885676741600037	0.10906970500946045	0.11353632807731628	0.1069534420967102	0.11077073216438293	0.10455939173698425	0.10881587862968445	0.10831701755523682	0.10645997524261475	0.10217010974884033	0.12041115760803223	0.11326625943183899	0.11890017986297607	0.11189180612564087	0.11041408777236938	0.10863915085792542	0.10908472537994385	0.1093115508556366	0.10770067572593689	0.10336142778396606	0.10794937610626221	0.10500466823577881	0.10444521903991699	0.10344675183296204	0.11232003569602966	0.11935383081436157	0.10551977157592773	0.105926513671875	0.12322434782981873	0.10531041026115417	0.11489048600196838	0.10669505596160889	0.1045890748500824	0.107330322265625	0.10586372017860413	0.10561233758926392	0.10626417398452759	0.10911485552787781	0.10646423697471619	0.10579195618629456	0.10538327693939209	0.10847669839859009	0.11085572838783264	0.10735619068145752	0.10693526268005371	0.10878360271453857	0.10746389627456665	0.10373541712760925	0.10716119408607483	0.10904988646507263	0.1088114082813263	0.10703402757644653	0.10622325539588928	0.1102941632270813	0.10521778464317322	0.10603734850883484	0.10678133368492126	0.11045601963996887	0.10858872532844543	0.10633158683776855	0.10541832447052002	0.10867896676063538	0.10565075278282166	0.10936751961708069	0.10715514421463013	0.10630446672439575	0.11029785871505737	0.10341951251029968	0.10730153322219849
SLAC	SLACD	147	0.10544	0.1017647236585617	0.09994810074567795	0.10123898088932037	0.09452667087316513	0.10439202189445496	0.10003025829792023	0.10235290229320526	0.10153475403785706	0.10002207010984421	0.10114046931266785	0.10356868803501129	0.10252776741981506	0.09764626622200012	0.1038689985871315	0.10418204963207245	0.09780409187078476	0.09875039011240005	0.10394401848316193	0.1003301590681076	0.10080753266811371	0.10536956787109375	0.09995156526565552	0.1010453924536705	0.10037179291248322	0.10677142441272736	0.1107042133808136	0.10159476846456528	0.1018555760383606	0.11053018271923065	0.09598550200462341	0.127528116106987	0.09752324968576431	0.10296626389026642	0.10218189656734467	0.10761673748493195	0.10150408744812012	0.10194438695907593	0.09899090230464935	0.10242882370948792	0.09998539090156555	0.10054358839988708	0.0964224636554718	0.10913138091564178	0.10425309836864471	0.12015962600708008	0.10270732641220093	0.10299868881702423	0.10234661400318146	0.10143598914146423	0.10420630872249603	0.10415177792310715	0.09583234786987305	0.10137026011943817	0.09868143498897552	0.09805674105882645	0.0973220095038414	0.10559985041618347	0.10216552019119263	0.09915386140346527	0.10053136944770813	0.11095388233661652	0.09666242450475693	0.1069171279668808	0.09974502772092819	0.09792856872081757	0.10072359442710876	0.09863968193531036	0.10005497187376022	0.10069990158081055	0.10323332250118256	0.09981617331504822	0.09932690858840942	0.099001944065094	0.10147161036729813	0.10408645868301392	0.10455314815044403	0.10114642977714539	0.10109909623861313	0.10138396918773651	0.09727786481380463	0.10027095675468445	0.10277780145406723	0.10229767858982086	0.10004828870296478	0.09961885213851929	0.10321910679340363	0.09922707080841064	0.09970159083604813	0.10069228708744049	0.09801513701677322	0.1024150401353836	0.09930036216974258	0.0971931740641594	0.10121692717075348	0.09948959946632385	0.10130971670150757	0.09886657446622849	0.0995621606707573	0.10335321724414825	0.0996423065662384	0.10099740326404572
SLAC	SLACD	148	0.1027	0.09924296289682388	0.09706968069076538	0.09916120767593384	0.0894724428653717	0.1018172949552536	0.09797923266887665	0.09997051954269409	0.09945309162139893	0.0969209372997284	0.09900888800621033	0.10015851259231567	0.10051161050796509	0.0958339124917984	0.10078634321689606	0.10218620300292969	0.09583273530006409	0.09684231877326965	0.10140804946422577	0.0980759859085083	0.0987078845500946	0.10284289717674255	0.09755705296993256	0.09903094172477722	0.09828680753707886	0.10402074456214905	0.10732246935367584	0.09952297806739807	0.09970912337303162	0.10400603711605072	0.09242787957191467	0.12594282627105713	0.09539975225925446	0.10045632719993591	0.09996616840362549	0.10431607067584991	0.0995592325925827	0.09949277341365814	0.09693676233291626	0.10034987330436707	0.09690338373184204	0.09865836799144745	0.09466250240802765	0.10549835860729218	0.10113273561000824	0.11817843466997147	0.09953871369361877	0.10025140643119812	0.09948353469371796	0.09908401966094971	0.10136491060256958	0.10156907141208649	0.09361685812473297	0.09906095266342163	0.09647990763187408	0.09607681632041931	0.09533317387104034	0.10314613580703735	0.09702886641025543	0.0971623957157135	0.09869924187660217	0.10690635442733765	0.09421275556087494	0.10390418767929077	0.09756140410900116	0.0958004742860794	0.09860751032829285	0.09579163789749146	0.09795664250850677	0.09880644083023071	0.10088172554969788	0.09757180511951447	0.09729626774787903	0.09696336090564728	0.09844455122947693	0.10141441226005554	0.10286310315132141	0.09913569688796997	0.0985310971736908	0.09930256009101868	0.0951865017414093	0.09799233078956604	0.09866984188556671	0.10018078982830048	0.09769949316978455	0.09750375151634216	0.10095629096031189	0.09715387225151062	0.09766609966754913	0.09814533591270447	0.09474465250968933	0.10023385286331177	0.09662693738937378	0.09400883316993713	0.09893715381622314	0.09706427156925201	0.09838643670082092	0.09582026302814484	0.09744516015052795	0.10080716013908386	0.09708008170127869	0.09876255691051483
SLAC	SLACD	149	0.10069	0.09614775329828262	0.09384939074516296	0.09687167406082153	0.078849196434021	0.09861718118190765	0.09572431445121765	0.0972084254026413	0.09716059267520905	0.09264202415943146	0.09665170311927795	0.09526398777961731	0.09830057621002197	0.09382487833499908	0.09716027975082397	0.09997902810573578	0.09367427229881287	0.0945792943239212	0.0984330028295517	0.09555500745773315	0.09638068079948425	0.09993968904018402	0.09484544396400452	0.0968216210603714	0.09599277377128601	0.10047103464603424	0.10370884835720062	0.0972382128238678	0.0973631739616394	0.09796547889709473	0.08734986186027527	0.12260493636131287	0.0927082747220993	0.09747983515262604	0.09753799438476562	0.09948450326919556	0.0973338782787323	0.09570606052875519	0.0945916473865509	0.09806419909000397	0.09345805644989014	0.09659165143966675	0.09274005889892578	0.10155348479747772	0.09704971313476562	0.11483125388622284	0.09507761895656586	0.09709811210632324	0.09544894099235535	0.09656177461147308	0.09719385206699371	0.09789182245731354	0.09109146893024445	0.09638749063014984	0.0939970314502716	0.093892902135849	0.09316343069076538	0.10038362443447113	0.09029720723628998	0.09497508406639099	0.09671120345592499	0.10257281363010406	0.09165191650390625	0.09969444572925568	0.09517242014408112	0.09353724122047424	0.09628719091415405	0.0918336808681488	0.09549519419670105	0.09670883417129517	0.09790089726448059	0.09508103132247925	0.0951194316148758	0.09472137689590454	0.09450483322143555	0.09810614585876465	0.10074563324451447	0.09684421122074127	0.09537796676158905	0.0969742089509964	0.09289835393428802	0.09530884027481079	0.09162662923336029	0.09785634279251099	0.09483367204666138	0.09517745673656464	0.0985034704208374	0.09486575424671173	0.09543867409229279	0.09505081176757812	0.09156924486160278	0.09776172041893005	0.09322994947433472	0.08918020129203796	0.09631478786468506	0.09396243095397949	0.09369225800037384	0.0921291708946228	0.09513106942176819	0.09783490002155304	0.09353578090667725	0.0962175726890564
SLAC	SLACD	150	0.09359	0.09084782004356384	0.08758093416690826	0.09162753820419312	0.088839590549469	0.09305483102798462	0.09057044982910156	0.09135261178016663	0.09184040129184723	0.08866502344608307	0.0913042426109314	0.09036204218864441	0.09315454959869385	0.08898453414440155	0.08971297740936279	0.09475836157798767	0.0887332558631897	0.09038203954696655	0.09289076924324036	0.09010620415210724	0.09108851850032806	0.09366072714328766	0.08906859159469604	0.09168843924999237	0.09073807299137115	0.09348897635936737	0.09561282396316528	0.09174829721450806	0.09226810932159424	0.08782628178596497	0.08353030681610107	0.11183011531829834	0.08794662356376648	0.09095057845115662	0.09189963340759277	0.09359554946422577	0.09222060441970825	0.09471668303012848	0.08918039500713348	0.09273494780063629	0.08626215159893036	0.0918104499578476	0.08842030167579651	0.09380023181438446	0.09228335320949554	0.10711205005645752	0.09211324155330658	0.09054993093013763	0.09067723155021667	0.09081001579761505	0.09267991781234741	0.09176339209079742	0.0867452621459961	0.09079569578170776	0.08842779695987701	0.08915472030639648	0.08812019228935242	0.09379853308200836	0.08588279783725739	0.09002514183521271	0.09169021248817444	0.09374301135540009	0.08626098930835724	0.09545034170150757	0.08982910215854645	0.08790498971939087	0.09096759557723999	0.08745607733726501	0.090438112616539	0.09157678484916687	0.09270170331001282	0.08944235742092133	0.09005106985569	0.08957923948764801	0.08555549383163452	0.09213581681251526	0.09466736018657684	0.09176866710186005	0.09046429395675659	0.09156306087970734	0.08756117522716522	0.09033943712711334	0.08820290863513947	0.09243310987949371	0.09009310603141785	0.08984799683094025	0.09323583543300629	0.08938717842102051	0.09030203521251678	0.08881834149360657	0.08542090654373169	0.09225110709667206	0.08790619671344757	0.08709421753883362	0.09167185425758362	0.08907409012317657	0.09144394099712372	0.0860176682472229	0.08987300097942352	0.09166443347930908	0.08724850416183472	0.09070202708244324
SLAC	SLACD	151	0.09261	0.08932743966579437	0.08590568602085114	0.09001770615577698	0.08876112103462219	0.0914400964975357	0.08898822963237762	0.08964331448078156	0.09019076824188232	0.08776678144931793	0.08967508375644684	0.08910468220710754	0.09153345227241516	0.0874205082654953	0.08811672031879425	0.09309987723827362	0.08721169829368591	0.08930592238903046	0.0913340151309967	0.08848841488361359	0.08949895203113556	0.0918530523777008	0.08739076554775238	0.09007833898067474	0.08912387490272522	0.09207618236541748	0.09321650862693787	0.0900585800409317	0.09059226512908936	0.08548392355442047	0.084075927734375	0.10819542407989502	0.08648177981376648	0.08929060399532318	0.09015436470508575	0.0919705182313919	0.0906163901090622	0.09371906518936157	0.08757424354553223	0.09106697142124176	0.0849427580833435	0.09031467139720917	0.08710753917694092	0.09158541262149811	0.09080995619297028	0.10458533465862274	0.09064406156539917	0.0887947678565979	0.08951340615749359	0.08904331922531128	0.09128871560096741	0.08991079032421112	0.08528566360473633	0.08911502361297607	0.08676190674304962	0.08773986995220184	0.08655501902103424	0.09170632064342499	0.08466094732284546	0.08852174878120422	0.09005631506443024	0.09129217267036438	0.08471326529979706	0.09307655692100525	0.08823323249816895	0.08628149330615997	0.08933475613594055	0.08687660098075867	0.08915974199771881	0.08996744453907013	0.09109221398830414	0.08778862655162811	0.08848567306995392	0.08800029754638672	0.08694452047348022	0.09057049453258514	0.09352393448352814	0.0904841423034668	0.08883549273014069	0.08989714086055756	0.08590570092201233	0.08862337470054626	0.08702220022678375	0.09073373675346375	0.0885346531867981	0.08821552991867065	0.09166942536830902	0.08766534924507141	0.08871100842952728	0.08730436861515045	0.08400176465511322	0.09070199728012085	0.08641922473907471	0.08655935525894165	0.0901058167219162	0.087477907538414	0.09100328385829926	0.08498276770114899	0.08826462924480438	0.09009549021720886	0.08563633263111115	0.0890866369009018
SLAC	SLACD	152	0.09144	0.0875362977385521	0.0839485302567482	0.08813082426786423	0.08939925581216812	0.08952470868825912	0.08713515102863312	0.0876157134771347	0.08827419579029083	0.08664414286613464	0.0877632275223732	0.08755838871002197	0.08965437114238739	0.08559925854206085	0.08610792458057404	0.09117908030748367	0.08543258905410767	0.08801855146884918	0.08947118371725082	0.08658146113157272	0.08762459456920624	0.08971631526947021	0.08540862053632736	0.08821338415145874	0.08723317831754684	0.09029232710599899	0.09048406034708023	0.08809180557727814	0.08866409957408905	0.08301407098770142	0.0842830166220665	0.10391931235790253	0.08473339676856995	0.08727394044399261	0.08812238276004791	0.09004189074039459	0.08872350305318832	0.09281012415885925	0.08565926551818848	0.0891263484954834	0.08295981585979462	0.08858049660921097	0.08557215332984924	0.08908724039793015	0.08908005058765411	0.10155708342790604	0.08906768262386322	0.08667678385972977	0.08806487917900085	0.08698204159736633	0.08962652087211609	0.08780345320701599	0.08361052721738815	0.08713758736848831	0.08480287343263626	0.08607253432273865	0.08474283665418625	0.0893201157450676	0.08336879312992096	0.08675508946180344	0.08817414939403534	0.08854550868272781	0.08294284343719482	0.09057523310184479	0.08636125922203064	0.0843571200966835	0.08742713928222656	0.08599552512168884	0.0876205563545227	0.08807794004678726	0.08919817209243774	0.08582381159067154	0.08665607869625092	0.08614979684352875	0.08777156472206116	0.08867479860782623	0.09200212359428406	0.08892074972391129	0.08695616573095322	0.08794189244508743	0.08397519588470459	0.08665429055690765	0.08571373671293259	0.08875758200883865	0.08672941476106644	0.08630344271659851	0.08987820893526077	0.08565638959407806	0.0868617594242096	0.08543317764997482	0.08227350562810898	0.08883817493915558	0.08464829623699188	0.085926353931427	0.08828675746917725	0.08563414961099625	0.09045489877462387	0.08359453827142715	0.0863916426897049	0.08817100524902344	0.08375651389360428	0.08717615157365799
SLAC	SLACD	153	0.08865	0.08573869615793228	0.0821828544139862	0.08629444986581802	0.0879698395729065	0.08763664960861206	0.08532694727182388	0.0856994241476059	0.08639245480298996	0.0851086974143982	0.08591397106647491	0.08581335097551346	0.08776454627513885	0.08372748643159866	0.08433762937784195	0.08925274014472961	0.08369329571723938	0.08664872497320175	0.08770924061536789	0.08475437760353088	0.0858355164527893	0.08767068386077881	0.08351697772741318	0.08634558320045471	0.08539164811372757	0.0883287712931633	0.08789706230163574	0.08616095036268234	0.08670109510421753	0.08096050471067429	0.08462944626808167	0.09921948611736298	0.0830584466457367	0.08541963249444962	0.08614419400691986	0.08802591264247894	0.08690275251865387	0.09040370583534241	0.0838685855269432	0.0872059091925621	0.08356192708015442	0.08684279024600983	0.08406773954629898	0.08670974522829056	0.08722241222858429	0.09839276969432831	0.08723729103803635	0.08479076623916626	0.08690424263477325	0.08501026779413223	0.08817633986473083	0.08555138856172562	0.08194363117218018	0.0852377712726593	0.08294977247714996	0.08446718752384186	0.08296767622232437	0.086793914437294	0.08178792148828506	0.08504831045866013	0.08631124347448349	0.08590453863143921	0.08126981556415558	0.08776554465293884	0.08457843959331512	0.08265598118305206	0.08557595312595367	0.08517217636108398	0.08625025302171707	0.08623336255550385	0.08744603395462036	0.08404328674077988	0.08487151563167572	0.08435563743114471	0.08610928058624268	0.086826853454113	0.09021058678627014	0.087460458278656	0.08509581536054611	0.08603718131780624	0.08211249113082886	0.08476243168115616	0.08437265455722809	0.08680311590433121	0.08494126051664352	0.08445373177528381	0.08802695572376251	0.0837385356426239	0.08504445850849152	0.0836944431066513	0.08140528947114944	0.08713279664516449	0.08293412625789642	0.08527238667011261	0.08652038872241974	0.08383622765541077	0.08866110444068909	0.08239757269620895	0.08456133306026459	0.0864371582865715	0.08165311068296432	0.08535867184400558
SLAC	SLACD	154	0.08487	0.08178023993968964	0.07845994830131531	0.08231885731220245	0.08450943231582642	0.08357174694538116	0.08140972256660461	0.08158542215824127	0.08233414590358734	0.08177705109119415	0.08192279189825058	0.08215073496103287	0.08365809917449951	0.07957114279270172	0.08044162392616272	0.08507350087165833	0.07992668449878693	0.08338359743356705	0.08384783565998077	0.08081429451704025	0.08196024596691132	0.08327893167734146	0.07946063578128815	0.08229430019855499	0.08140672743320465	0.08417779207229614	0.08247434347867966	0.08198927342891693	0.08245296776294708	0.07733727991580963	0.0838841050863266	0.08804300427436829	0.07942186295986176	0.08144806325435638	0.08189140260219574	0.08378291130065918	0.08294972777366638	0.08492806553840637	0.07999546825885773	0.08304814994335175	0.08367615938186646	0.08306590467691422	0.08079497516155243	0.08180315047502518	0.08323533087968826	0.09121432900428772	0.0831921249628067	0.08075682818889618	0.08386534452438354	0.08083409070968628	0.08491535484790802	0.0804758369922638	0.07835175096988678	0.08115950226783752	0.07898212224245071	0.08098983764648438	0.07915137708187103	0.08107509464025497	0.07866831123828888	0.08135278522968292	0.08229640871286392	0.08037920296192169	0.07777445018291473	0.08143249154090881	0.08074581623077393	0.078990139067173	0.08158650994300842	0.08273741602897644	0.08318328857421875	0.08222025632858276	0.08348582684993744	0.0802248865365982	0.08101214468479156	0.08048062771558762	0.08280854672193527	0.082870714366436	0.08582645654678345	0.08416571468114853	0.08111777901649475	0.08190885186195374	0.07813162356615067	0.08068821579217911	0.08141006529331207	0.08257907629013062	0.08108127117156982	0.08046651631593704	0.08394797146320343	0.07965962588787079	0.08112385869026184	0.07992483675479889	0.07954920828342438	0.08341158926486969	0.07929599285125732	0.08253123611211777	0.08268635720014572	0.0799965113401413	0.0845213234424591	0.07959024608135223	0.08061496913433075	0.08267055451869965	0.07693947851657867	0.08141544461250305
SLAC	SLACD	155	0.08177	0.07946791499853134	0.07649141550064087	0.08004291355609894	0.08149746060371399	0.08122897148132324	0.07916325330734253	0.07926908880472183	0.08001382648944855	0.07961472868919373	0.07964920997619629	0.07994329184293747	0.08127596974372864	0.07718472182750702	0.07823271304368973	0.08265811204910278	0.07776592671871185	0.08124373853206635	0.08160161226987839	0.07857347279787064	0.07974828779697418	0.08079755306243896	0.07717519998550415	0.07994934171438217	0.07912649214267731	0.08172879368066788	0.07956038415431976	0.07960109412670135	0.07999375462532043	0.07540367543697357	0.08249522000551224	0.08300874382257462	0.07733598351478577	0.07924152165651321	0.07947593927383423	0.08132953196763992	0.080685093998909	0.08127906918525696	0.07781817764043808	0.08065897971391678	0.08272676169872284	0.0808720588684082	0.07889830321073532	0.07915209233760834	0.08085094392299652	0.08740703761577606	0.08068190515041351	0.07852984964847565	0.08186228573322296	0.07841603457927704	0.08282271027565002	0.0778709426522255	0.07628020644187927	0.0788489505648613	0.07675693929195404	0.07899568974971771	0.07697694003582001	0.07794421911239624	0.07671476155519485	0.0792391449213028	0.08000223338603973	0.07753663510084152	0.07581877708435059	0.07774198055267334	0.07857449352741241	0.07696453481912613	0.07931502163410187	0.08100861310958862	0.08133402466773987	0.07991333305835724	0.08106853067874908	0.07810424268245697	0.07880426943302155	0.07827498763799667	0.0801369771361351	0.0806039497256279	0.08306717872619629	0.0821215808391571	0.07884321361780167	0.07955225557088852	0.0758930966258049	0.07837799191474915	0.07953782379627228	0.08015808463096619	0.07885175198316574	0.07819944620132446	0.08150912821292877	0.0774020254611969	0.07888121902942657	0.07778504490852356	0.07825328409671783	0.08129318058490753	0.07722602784633636	0.08042740076780319	0.0804772675037384	0.07782815396785736	0.08155668526887894	0.0778917744755745	0.07835853099822998	0.08053658902645111	0.07468967139720917	0.07915974408388138
