#: table_doi: 10.17182/hepdata.83701.v1/t1
#: name: Table 1
#: description: The measured $W^{\pm}Z$ fiducial cross section in the four channels and their combination.  
The first systematic uncertainty is the combined systematic uncertainty excluding luminosity uncertainty, the second is the modelling uncertainty, the third is luminosity uncertainty.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> (W+ + W-) Z0 X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P --> (W+ + W-) Z0 X
#: SQRT(S) [GEV],13000.0
#: .,$e^\pm e^+ e^-$ channel
$\sqrt{s}$ [GeV],Fiducial cross section $\sigma^{\mathrm{fid.}}_{W^\pm Z}$ [fb],stat +,stat -,sys +,sys -,"sys,mod +","sys,mod -","sys,lumi +","sys,lumi -"
13000.0,65.8,2.4,-2.4,3.9,-3.9,0.3,-0.3,1.5,-1.5

#: RE,P P --> (W+ + W-) Z0 X
#: SQRT(S) [GEV],13000.0
#: .,$\mu^\pm e^+ e^-$ channel
$\sqrt{s}$ [GeV],Fiducial cross section $\sigma^{\mathrm{fid.}}_{W^\pm Z}$ [fb],stat +,stat -,sys +,sys -,"sys,mod +","sys,mod -","sys,lumi +","sys,lumi -"
13000.0,61.2,2.0,-2.0,2.1,-2.1,0.3,-0.3,1.3,-1.3

#: RE,P P --> (W+ + W-) Z0 X
#: SQRT(S) [GEV],13000.0
#: .,$e^\pm \mu^+ \mu^-$ channel
$\sqrt{s}$ [GeV],Fiducial cross section $\sigma^{\mathrm{fid.}}_{W^\pm Z}$ [fb],stat +,stat -,sys +,sys -,"sys,mod +","sys,mod -","sys,lumi +","sys,lumi -"
13000.0,62.4,2.0,-2.0,3.4,-3.4,0.3,-0.3,1.4,-1.4

#: RE,P P --> (W+ + W-) Z0 X
#: SQRT(S) [GEV],13000.0
#: .,$\mu^\pm \mu^+ \mu^-$ channel
$\sqrt{s}$ [GeV],Fiducial cross section $\sigma^{\mathrm{fid.}}_{W^\pm Z}$ [fb],stat +,stat -,sys +,sys -,"sys,mod +","sys,mod -","sys,lumi +","sys,lumi -"
13000.0,65.3,1.8,-1.8,2.7,-2.7,0.3,-0.3,1.64,-1.64

#: RE,P P --> (W+ + W-) Z0 X
#: SQRT(S) [GEV],13000.0
#: .,combined
$\sqrt{s}$ [GeV],Fiducial cross section $\sigma^{\mathrm{fid.}}_{W^\pm Z}$ [fb],stat +,stat -,sys +,sys -,"sys,mod +","sys,mod -","sys,lumi +","sys,lumi -"
13000.0,63.7,1.0,-1.0,2.3,-2.3,0.3,-0.3,1.4,-1.4

