#: table_doi: 10.17182/hepdata.79410.v1/t13
#: name: Table 13
#: description: Electroweak correction factor to triple-differential dijet cross section
#: data_file: table_13.yaml
#: keyword observables: Electroweak correction factor
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,0.0 <= YSTAR < 1.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,0.0 <= YBOOST < 1.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,EWCORR
143.0,133.0,153.0,0.99918
163.5,153.0,174.0,0.99897
185.0,174.0,196.0,0.99874
208.0,196.0,220.0,0.99851
232.5,220.0,245.0,0.9983
258.5,245.0,272.0,0.99814
286.0,272.0,300.0,0.99801
315.0,300.0,330.0,0.99797
346.0,330.0,362.0,0.99804
378.5,362.0,395.0,0.99823
412.5,395.0,430.0,0.99857
449.0,430.0,468.0,0.99912
487.5,468.0,507.0,0.99982
527.5,507.0,548.0,1.0008
570.0,548.0,592.0,1.0021
615.0,592.0,638.0,1.0037
662.0,638.0,686.0,1.0056
711.5,686.0,737.0,1.0079
763.5,737.0,790.0,1.0107
818.0,790.0,846.0,1.0139
875.5,846.0,905.0,1.0176
936.0,905.0,967.0,1.0219
999.5,967.0,1032.0,1.0267
1066.5,1032.0,1101.0,1.0322
1136.5,1101.0,1172.0,1.0381
1210.0,1172.0,1248.0,1.045
1287.5,1248.0,1327.0,1.053
1368.5,1327.0,1410.0,1.0608
1453.5,1410.0,1497.0,1.0692
1542.5,1497.0,1588.0,1.0787
1686.0,1588.0,1784.0,1.0935

