#: table_doi: 10.17182/hepdata.79410.v1/t19
#: name: Table 19
#: description: Nonperturbative correction factor to triple-differential dijet cross section with uncertainty
#: data_file: table_19.yaml
#: keyword observables: Nonperturbative correction factor
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,0.0 <= YSTAR < 1.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,0.0 <= YBOOST < 1.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,NPCORR,nperr +,nperr -
143.0,133.0,153.0,1.0959,1.651%,-1.651%
163.5,153.0,174.0,1.0811,1.507%,-1.507%
185.0,174.0,196.0,1.0703,1.38%,-1.38%
208.0,196.0,220.0,1.0616,1.265%,-1.265%
232.5,220.0,245.0,1.0538,1.163%,-1.163%
258.5,245.0,272.0,1.048,1.072%,-1.072%
286.0,272.0,300.0,1.0431,0.9911%,-0.9911%
315.0,300.0,330.0,1.0391,0.9192%,-0.9192%
346.0,330.0,362.0,1.036,0.8542%,-0.8542%
378.5,362.0,395.0,1.0328,0.7964%,-0.7964%
412.5,395.0,430.0,1.0305,0.7985%,-0.7985%
449.0,430.0,468.0,1.0279,0.8054%,-0.8054%
487.5,468.0,507.0,1.0252,0.8132%,-0.8132%
527.5,507.0,548.0,1.0232,0.8213%,-0.8213%
570.0,548.0,592.0,1.0208,0.8296%,-0.8296%
615.0,592.0,638.0,1.0192,0.8379%,-0.8379%
662.0,638.0,686.0,1.0183,0.8458%,-0.8458%
711.5,686.0,737.0,1.0169,0.8533%,-0.8533%
763.5,737.0,790.0,1.0162,0.8603%,-0.8603%
818.0,790.0,846.0,1.0149,0.8666%,-0.8666%
875.5,846.0,905.0,1.0132,0.8722%,-0.8722%
936.0,905.0,967.0,1.0128,0.8771%,-0.8771%
999.5,967.0,1032.0,1.0119,0.8858%,-0.8858%
1066.5,1032.0,1101.0,1.0114,0.8954%,-0.8954%
1136.5,1101.0,1172.0,1.0105,0.904%,-0.904%
1210.0,1172.0,1248.0,1.0095,0.9111%,-0.9111%
1287.5,1248.0,1327.0,1.0095,0.9169%,-0.9169%
1368.5,1327.0,1410.0,1.0086,0.9222%,-0.9222%
1453.5,1410.0,1497.0,1.0083,0.9265%,-0.9265%
1542.5,1497.0,1588.0,1.0077,0.9293%,-0.9293%
1686.0,1588.0,1784.0,1.0069,0.9324%,-0.9324%

