#: table_doi: 10.17182/hepdata.79410.v1/t20
#: name: Table 20
#: description: Nonperturbative correction factor to triple-differential dijet cross section with uncertainty
#: data_file: table_20.yaml
#: keyword observables: Nonperturbative correction factor
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,1.0 <= YSTAR < 2.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,0.0 <= YBOOST < 1.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,NPCORR,nperr +,nperr -
143.0,133.0,153.0,1.0924,1.618%,-1.618%
163.5,153.0,174.0,1.0799,1.451%,-1.451%
185.0,174.0,196.0,1.0693,1.309%,-1.309%
208.0,196.0,220.0,1.0619,1.187%,-1.187%
232.5,220.0,245.0,1.0554,1.08%,-1.08%
258.5,245.0,272.0,1.05,0.9881%,-0.9881%
286.0,272.0,300.0,1.0457,0.9079%,-0.9079%
315.0,300.0,330.0,1.0413,0.8381%,-0.8381%
346.0,330.0,362.0,1.039,0.7762%,-0.7762%
378.5,362.0,395.0,1.0367,0.7221%,-0.7221%
412.5,395.0,430.0,1.0335,0.7236%,-0.7236%
449.0,430.0,468.0,1.0312,0.7401%,-0.7401%
487.5,468.0,507.0,1.0289,0.7773%,-0.7773%
527.5,507.0,548.0,1.0266,0.8185%,-0.8185%
570.0,548.0,592.0,1.0243,0.8593%,-0.8593%
615.0,592.0,638.0,1.0231,0.8995%,-0.8995%
662.0,638.0,686.0,1.0218,0.9381%,-0.9381%
711.5,686.0,737.0,1.0205,0.9756%,-0.9756%
763.5,737.0,790.0,1.0192,1.012%,-1.012%
818.0,790.0,846.0,1.018,1.047%,-1.047%
875.5,846.0,905.0,1.0168,1.08%,-1.08%
936.0,905.0,967.0,1.0157,1.113%,-1.113%
999.5,967.0,1032.0,1.0148,1.144%,-1.144%
1066.5,1032.0,1101.0,1.014,1.174%,-1.174%
1136.5,1101.0,1172.0,1.0133,1.203%,-1.203%
1210.0,1172.0,1248.0,1.0126,1.231%,-1.231%

