#: table_doi: 10.17182/hepdata.79410.v1/t22
#: name: Table 22
#: description: Nonperturbative correction factor to triple-differential dijet cross section with uncertainty
#: data_file: table_22.yaml
#: keyword observables: Nonperturbative correction factor
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,0.0 <= YSTAR < 1.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,1.0 <= YBOOST < 2.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,NPCORR,nperr +,nperr -
143.0,133.0,153.0,1.0902,1.61%,-1.61%
163.5,153.0,174.0,1.0776,1.446%,-1.446%
185.0,174.0,196.0,1.069,1.304%,-1.304%
208.0,196.0,220.0,1.0615,1.18%,-1.18%
232.5,220.0,245.0,1.055,1.072%,-1.072%
258.5,245.0,272.0,1.0505,0.9784%,-0.9784%
286.0,272.0,300.0,1.0461,0.9572%,-0.9572%
315.0,300.0,330.0,1.0415,1.04%,-1.04%
346.0,330.0,362.0,1.038,1.13%,-1.13%
378.5,362.0,395.0,1.0344,1.221%,-1.221%
412.5,395.0,430.0,1.0306,1.313%,-1.313%
449.0,430.0,468.0,1.0278,1.406%,-1.406%
487.5,468.0,507.0,1.0248,1.498%,-1.498%
527.5,507.0,548.0,1.0225,1.587%,-1.587%
570.0,548.0,592.0,1.0202,1.674%,-1.674%
615.0,592.0,638.0,1.0185,1.758%,-1.758%
662.0,638.0,686.0,1.0166,1.839%,-1.839%
711.5,686.0,737.0,1.0152,1.916%,-1.916%
763.5,737.0,790.0,1.0136,1.989%,-1.989%
818.0,790.0,846.0,1.0124,2.059%,-2.059%
875.5,846.0,905.0,1.0112,2.125%,-2.125%
936.0,905.0,967.0,1.01,2.187%,-2.187%
999.5,967.0,1032.0,1.0086,2.246%,-2.246%

