#: table_doi: 10.17182/hepdata.79410.v1/t15
#: name: Table 15
#: description: Electroweak correction factor to triple-differential dijet cross section
#: data_file: table_15.yaml
#: keyword observables: Electroweak correction factor
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,2.0 <= YSTAR < 3.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,0.0 <= YBOOST < 1.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,EWCORR
143.0,133.0,153.0,0.99763
163.5,153.0,174.0,0.99724
185.0,174.0,196.0,0.99679
208.0,196.0,220.0,0.99625
232.5,220.0,245.0,0.99558
258.5,245.0,272.0,0.9948
286.0,272.0,300.0,0.9939
315.0,300.0,330.0,0.99279
346.0,330.0,362.0,0.99156
378.5,362.0,395.0,0.99017
412.5,395.0,430.0,0.98871
449.0,430.0,468.0,0.98683
487.5,468.0,507.0,0.98549
527.5,507.0,548.0,0.98336

