0.0	0.2	0.1	2.13  	0.17	0.007	0.018	0.001	0.012	0.006	0.107	0.05
0.2	0.4	0.3	5.46  	0.18	0.005	0.036	0.006	0.008	0.005	0.129	0.13
0.4	0.6	0.5	9.11  	0.18	0.029	0.046	0.007	0.013	0.004	0.151	0.06
0.6	0.8	0.71	12.41 	0.18	0.049	0.065	0.012	0.039	0.003	0.165	0.11
0.8	1.0	0.89	14.15 	0.19	0.047	0.089	0.012	0.046	0.004	0.134	0.09
1.0	1.2	1.11	16.13 	0.16	0.051	0.078	0.014	0.053	0.002	0.251	0.22
1.2	1.4	1.3	16.62 	0.14	0.057	0.058	0.006	0.042	0.002	0.187	0.17
1.4	1.6	1.49	15.47 	0.16	0.055	0.048	0.013	0.073	0.005	0.183	0.17
1.6	1.8	1.66	11.06 	0.70	0.030	0.005	0.047	0.082	0.031	0.312	0.20
1.8	2.0	1.88	7.64  	1.07	0.037	0.009	0.048	0.149	0.049	0.385	0.04
