65 75 10700 100 500 -400 200
75 85 5770 60 250 -250 110
85 105 2690 20 130 -130 50
105 125 1020 10 50 -50 20
125 150 438 2 26 -27 8
150 175 189 1 13 -13 4
175 200 89.8 1 6.9 -6.9 1.7
200 250 34.8 0.3 2.9 -3 0.7
250 300 10.9 0.1 1 -1 0.2
300 350 3.76 0.08 0.4 -0.41 0.07
350 400 1.52 0.05 0.18 -0.19 0.03
400 470 0.511 0.022 0.063 -0.069 0.01
470 550 0.127 0.01 0.018 -0.02 0.002
550 650 0.0271 0.004 0.0047 -0.005 0.0005


# d#sigma/dE_{T}^{#gamma} [fb / GeV]
# 1.56 < |#eta^{#gamma}| < 1.81

# Correlation information:
# Systematics are already combined

# Columns:
# BinLowEdge, BinHighEdge, Cross Section(fb/GeV), statistical Uncertainty (fb/GeV),
# Total systematic uncertainty (fb/GeV),
# ATLAS2012Luminosity (fb/GeV)
# Datafiles from [1605.03495]
