65 75 25400 100 800 -800 500
75 85 13700 100 300 -300 300
85 105 6370 30 110 -110 120
105 125 2540 10 30 -30 50
125 150 1090 0 10 -10 20
150 175 484 2 7 -7 9
175 200 234 1 3 -3 4
200 250 98.4 0.5 1.4 -1.5 1.9
250 300 34.2 0.2 0.5 -0.6 0.7
300 350 14.1 0.1 0.2 -0.3 0.3
350 400 6.56 0.1 0.13 -0.13 0.13
400 470 2.84 0.05 0.06 -0.06 0.05
470 550 1.13 0.03 0.03 -0.02 0.02
550 650 0.405 0.015 0.01 -0.011 0.008
650 750 0.139 0.009 0.004 -0.004 0.003
750 900 0.0436 0.0042 0.0013 -0.0013 0.0008
900 1100 0.00935 0.00171 0.00031 -0.00031 0.00018
1100 1500 0.000612 0.00038 0.000025 -0.000026 0.000012

# d#sigma/dE_{T}^{#gamma} [fb / GeV]
# |#eta^{#gamma}| < 0.6

# Correlation information:
# Systematics are already combined

# Columns:
# BinLowEdge, BinHighEdge, Cross Section(fb/GeV), statistical Uncertainty (fb/GeV),
# Total systematic uncertainty (fb/GeV),
# ATLAS2012Luminosity (fb/GeV)
