65 75 33000 100 900 -900 600
75 85 17700 100 400 -400 300
85 105 8230 30 160 -160 160
105 125 3240 10 60 -60 60
125 150 1390 0 30 -30 30
150 175 616 2 13 -13 12
175 200 301 2 7 -6 6
200 250 125 5 3 -3 2
250 300 43.1 0.3 1.1 -1.1 0.8
300 350 16.6 0.2 0.5 -0.5 0.3
350 400 7.56 0.11 0.23 -0.23 0.14
400 470 3.08 0.05 0.1 -0.1 0.06
470 550 1.16 0.03 0.04 -0.04 0.02
550 650 0.382 0.015 0.016 -0.017 0.007
650 750 0.124 0.009 0.005 -0.006 0.002
750 900 0.0296 0.0035 0.0014 -0.0014 0.0006
900 1100 0.00723 0.00178 0.00039 -0.00038 0.00014

# d#sigma/dE_{T}^{#gamma} [fb / GeV]
# 0.6< |#eta^{#gamma}| < 1.37

# Correlation information:
# Systematics are already combined

# Columns:
# BinLowEdge, BinHighEdge, Cross Section(fb/GeV), statistical Uncertainty (fb/GeV),
# Total systematic uncertainty (fb/GeV),
# ATLAS2012Luminosity (fb/GeV)
