0.05 0.271  0.009 +0.006 -0.005
0.15 0.276  0.009 +0.007 -0.006
0.25 0.274  0.009 +0.006 -0.005 
0.35 0.266  0.010 +0.006 -0.005 
0.45 0.278  0.010 +0.007 -0.006 
0.55 0.269  0.010 +0.006 -0.007 
0.65 0.260  0.010 +0.006 -0.006 
0.75 0.276  0.010 +0.007 -0.005 
0.85 0.235  0.009 +0.006 -0.007 
0.95 0.244  0.009 +0.005 -0.006 
1.05 0.251  0.008 +0.006 -0.006 
1.15 0.235  0.008 +0.007 -0.006 
1.25 0.230  0.008 +0.005 -0.006 
1.35 0.223  0.008 +0.005 -0.006 
1.45 0.211  0.008 +0.004 -0.005 
1.55 0.191  0.008 +0.005 -0.006 
1.65 0.170  0.008 +0.005 -0.005
1.75 0.168  0.008 +0.006 -0.006
1.85 0.142  0.007 +0.005 -0.004 
1.95 0.119  0.006 +0.004 -0.004
2.05 0.117  0.006 +0.005 -0.004 
2.15 0.091  0.005 +0.004 -0.004
2.25 0.069  0.004 +0.003 -0.004 
2.35 0.049  0.004 +0.002 -0.002 
2.45 0.039  0.003 +0.002 -0.002
2.55 0.018  0.003 +0.001 -0.001
2.65 0.014  0.003 +0.001 -0.001 
2.75 0.005  0.002 +0.0004 -0.0004 


