Bin,$A_{LL}$,stat +,stat -,sys +,sys -
1.0,0.002,0.0015,-0.0015,0.0003,-0.0003
2.0,0.0056,0.0016,-0.0016,0.0004,-0.0004
3.0,0.0013,0.0014,-0.0014,0.0004,-0.0004
4.0,0.005,0.0016,-0.0016,0.0004,-0.0004
5.0,0.0054,0.002,-0.002,0.0005,-0.0005
6.0,0.0114,0.0026,-0.0026,0.0006,-0.0006
7.0,0.0115,0.0037,-0.0037,0.0015,-0.0015
8.0,0.0132,0.0055,-0.0055,0.0016,-0.0016
9.0,0.0207,0.0092,-0.0092,0.0022,-0.0022
10.0,0.0326,0.016,-0.016,0.0039,-0.0039
11.0,0.0332,0.0297,-0.0297,0.0048,-0.0048
