Bin,$A_{LL}$,stat +,stat -,sys +,sys -
12.0,0.0018,0.0016,-0.0016,0.0004,-0.0004
13.0,0.004,0.0018,-0.0018,0.0004,-0.0004
14.0,0.0059,0.0016,-0.0016,0.0004,-0.0004
15.0,0.0027,0.0019,-0.0019,0.0004,-0.0004
16.0,0.0069,0.0024,-0.0024,0.0005,-0.0005
17.0,0.0087,0.0032,-0.0032,0.0006,-0.0006
18.0,0.015,0.0046,-0.0046,0.0011,-0.0011
19.0,0.0195,0.0071,-0.0071,0.0015,-0.0015
20.0,0.0333,0.0122,-0.0122,0.0025,-0.0025
21.0,0.0437,0.0221,-0.0221,0.0038,-0.0038
22.0,0.0055,0.0434,-0.0434,0.006,-0.006
