Bin,Parton Jet $p_T$ [GeV/c],stat +,stat -,sys +,sys -
12.0,5.61,0.0,-0.0,0.81,-0.81
13.0,6.62,0.0,-0.0,0.81,-0.81
14.0,8.48,0.0,-0.0,0.69,-0.69
15.0,10.17,0.0,-0.0,0.65,-0.65
16.0,12.2,0.0,-0.0,0.64,-0.64
17.0,14.57,0.0,-0.0,0.61,-0.61
18.0,16.99,0.0,-0.0,0.69,-0.69
19.0,20.16,0.0,-0.0,0.9,-0.9
20.0,23.35,0.0,-0.0,0.93,-0.93
21.0,27.13,0.0,-0.0,1.09,-1.09
22.0,31.08,0.0,-0.0,1.08,-1.08
