#: table_doi: 10.17182/hepdata.105278.v1/t53
#: name: Figure 14 (b,A,data)
#: description: Dijet asymmetries for the same topological bins in 510 GeV pp collisions (b,A,data)
#: data_file: fig14_b_data_A_input_yaml.yaml
#: keyword cmenergies: 510.0
#: Parton DiJet $M_{inv}$ [$GeV/c^{2}$],,,DiJet $A_{LL}$,b, A, data
Parton DiJet $M_{inv}$ [$GeV/c^{2}$],Parton DiJet $M_{inv}$ [$GeV/c^{2}$] LOW,Parton DiJet $M_{inv}$ [$GeV/c^{2}$] HIGH,DiJet $A_{LL}$,stat +,stat -,sys +,sys -,UE/RL sys +,UE/RL sys -
19.04,18.22,19.86,-0.0128,0.0066,-0.0066,0.0002,-0.0002,0.00025,-0.00025
21.619999999999997,20.66,22.58,0.009,0.0052,-0.0052,0.0002,-0.0002,0.00058,-0.00058
26.380000000000003,25.3,27.46,0.0079,0.005,-0.005,0.0004,-0.0004,0.00062,-0.00062
32.3,31.14,33.46,-0.0012,0.0052,-0.0052,0.0004,-0.0004,0.00056,-0.00056
38.42,37.22,39.62,0.0101,0.0061,-0.0061,0.0004,-0.0004,0.00051,-0.00051
45.18,43.7,46.66,-0.0013,0.0064,-0.0064,0.0006,-0.0006,0.00046,-0.00046
53.42,51.87,54.97,0.0048,0.0081,-0.0081,0.0009,-0.0009,0.00044,-0.00044
63.519999999999996,61.72,65.32,0.0052,0.0108,-0.0108,0.001,-0.001,0.00037,-0.00037
75.55000000000001,73.34,77.76,0.0363,0.0167,-0.0167,0.002,-0.002,0.00037,-0.00037
89.12,86.74,91.5,-0.0218,0.0264,-0.0264,0.0048,-0.0048,0.00031,-0.00031
