# xsec	dy+	dy+	dy+
198.0	0.9	4.7	7.7
# x	xlow	xhigh	  y	dy+	dy+	dy+	y	dy+
2.0625	2.000	2.125	14.2	0.7	0.5	0.6	1.016	0.005
2.1875	2.125	2.250	41.9	1.2	1.2	1.6	1.017	0.004
2.3125	2.250	2.375	65.2	1.5	1.8	2.5	1.021	0.002
2.4375	2.375	2.500	91.3	1.8	2.3	3.6	1.018	0.002	
2.5625	2.500	2.625	108.0	2.0	2.7	4.2	1.023	0.003
2.6875	2.625	2.750	121.4	2.1	3.0	4.7	1.022	0.003
2.8125	2.750	2.875	136.0	2.2	3.3	5.3	1.022	0.002
2.9375	2.875	3.000	140.8	2.2	3.4	5.5	1.023	0.003
3.0625	3.000	3.125	145.5	2.3	3.5	5.7	1.026	0.002
3.1875	3.125	3.250	144.0	2.3	3.4	5.6	1.026	0.002
3.3125	3.250	3.375	137.1	2.2	3.3	5.3	1.025	0.004
3.4375	3.375	3.500	121.8	2.1	3.0	4.8	1.026	0.005
3.5625	3.500	3.625	100.4	1.9	2.4	3.9	1.027	0.002
3.6875	3.625	3.750	75.2	1.7	1.8	2.9	1.024	0.002
3.8125	3.750	3.875	57.9	1.5	1.5	2.3	1.021	0.003
3.9375	3.875	4.000	41.1	1.2	1.3	1.6	1.019	0.019
4.125	4.000	4.250	18.4	0.6	0.6	0.7	1.034	0.014
4.375	4.250	4.500	2.6	0.2	0.3	0.1	1.046	0.119
