# x	xlow	xhigh	y	dy+	dy+	dy+	dy+	y	dy+
2.0625	2.0	2.125	1.223	0.033	0.055	0.014	0.014	1.0466	0.0395
2.1875	2.125	2.25	3.263	0.051	0.06	0.038	0.038	1.0305	0.0119
2.3125	2.25	2.375	4.983	0.062	0.064	0.057	0.058	1.0277	0.0069
2.4375	2.375	2.5	6.719	0.07	0.072	0.077	0.078	1.0252	0.0061
2.5625	2.5	2.625	8.051	0.076	0.074	0.093	0.094	1.0264	0.0048
2.6875	2.625	2.75	8.967	0.079	0.074	0.103	0.105	1.0257	0.0032
2.8125	2.75	2.875	9.561	0.081	0.076	0.11	0.112	1.0258	0.0038
2.9375	2.875	3.0	9.822	0.082	0.071	0.113	0.115	1.0252	0.0027
3.0625	3.0	3.125	9.721	0.081	0.074	0.112	0.114	1.0282	0.0035
3.1875	3.125	3.25	9.03	0.078	0.071	0.104	0.105	1.0264	0.003
3.3125	3.25	3.375	7.748	0.072	0.074	0.089	0.09	1.0261	0.0066
3.4375	3.375	3.5	6.059	0.063	0.051	0.07	0.071	1.0248	0.004
3.5625	3.5	3.625	4.385	0.054	0.041	0.05	0.051	1.0258	0.006
3.6875	3.625	3.75	2.724	0.042	0.027	0.031	0.032	1.0228	0.0053
3.8125	3.75	3.875	1.584	0.032	0.02	0.018	0.019	1.018	0.0079
3.9375	3.875	4.0	0.749	0.022	0.012	0.009	0.009	1.0207	0.01
4.125	4.0	4.25	0.383	0.016	0.008	0.004	0.004	1.0183	0.014
4.375	4.25	4.5	0.011	0.003	0.001	0.0	0.0	1.0177	0.0761

# Path: /HepData/9034/d2-x1-y1
# Inclusive cross-section for $Z$ boson production in bins of rapidity. 
# The uncertainties are statistical, systematic, beam and luminosity
# Location: T 5
# ETARAP(MU) : 2.0 - 4.5
# M(MU+ MU-) : 60.0 - 120.0 GeV
# PT(MU) IN GEV : > 20
# RE : P P --> Z0 < MU+ MU- > X
# SQRT(S) : 8000.0 GeV
# x : $y_{Z}$
# y : $\sigma_{Z \to \mu^{+}\mu^{-}}$ IN PB : $f^{Z}_{FSR}$
