#: table_doi: 10.17182/hepdata.6191.v1/t4
#: name: Table 4
#: description: R=SIG(L)/SIG(T) is taken to be zero.

#: data_file: Table4.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.14
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
11.75,0.33013,0.00504,-0.00504,0.00381,-0.00381,3.0%,-3.0%
13.25,0.34016,0.00544,-0.00544,0.00397,-0.00397,3.0%,-3.0%
15.0,0.33475,0.00498,-0.00498,0.00386,-0.00386,3.0%,-3.0%
17.0,0.33123,0.00554,-0.00554,0.00364,-0.00364,3.0%,-3.0%
19.0,0.3378,0.00632,-0.00632,0.00355,-0.00355,3.0%,-3.0%
21.5,0.33493,0.00434,-0.00434,0.00281,-0.00281,3.0%,-3.0%
24.5,0.34013,0.00457,-0.00457,0.00324,-0.00324,3.0%,-3.0%
28.0,0.3272,0.00419,-0.00419,0.00234,-0.00234,3.0%,-3.0%
32.5,0.32015,0.00421,-0.00421,0.00227,-0.00227,3.0%,-3.0%
37.5,0.329,0.00825,-0.00825,0.00391,-0.00391,3.0%,-3.0%
43.0,0.32609,0.00818,-0.00818,0.00365,-0.00365,3.0%,-3.0%
49.5,0.32622,0.00861,-0.00861,0.00365,-0.00365,3.0%,-3.0%
57.0,0.31362,0.00991,-0.00991,0.0035,-0.0035,3.0%,-3.0%

