#: table_doi: 10.17182/hepdata.6191.v1/t9
#: name: Table 9
#: description: R=SIG(L)/SIG(T) is taken to be zero.

#: data_file: Table9.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.45
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
13.25,0.12068,0.00403,-0.00403,0.00236,-0.00236,3.0%,-3.0%
15.0,0.11853,0.00364,-0.00364,0.00218,-0.00218,3.0%,-3.0%
17.0,0.12108,0.00388,-0.00388,0.00204,-0.00204,3.0%,-3.0%
19.0,0.11283,0.00402,-0.00402,0.00194,-0.00194,3.0%,-3.0%
21.5,0.11759,0.00367,-0.00367,0.00171,-0.00171,3.0%,-3.0%
24.5,0.10949,0.00246,-0.00246,0.00111,-0.00111,3.0%,-3.0%
28.0,0.10915,0.00231,-0.00231,0.00104,-0.00104,3.0%,-3.0%
32.5,0.10785,0.00176,-0.00176,0.00106,-0.00106,3.0%,-3.0%
37.5,0.10638,0.00197,-0.00197,0.00097,-0.00097,3.0%,-3.0%
43.0,0.10466,0.00154,-0.00154,0.00099,-0.00099,3.0%,-3.0%
49.5,0.10172,0.00153,-0.00153,0.0008,-0.0008,3.0%,-3.0%
57.0,0.10302,0.00153,-0.00153,0.00078,-0.00078,3.0%,-3.0%
65.5,0.09925,0.00159,-0.00159,0.00068,-0.00068,3.0%,-3.0%
75.0,0.09781,0.0019,-0.0019,0.00061,-0.00061,3.0%,-3.0%
86.0,0.09539,0.00217,-0.00217,0.00061,-0.00061,3.0%,-3.0%
99.0,0.09319,0.00226,-0.00226,0.00052,-0.00052,3.0%,-3.0%
115.5,0.09295,0.00227,-0.00227,0.00054,-0.00054,3.0%,-3.0%
137.5,0.08773,0.00485,-0.00485,0.00048,-0.00048,3.0%,-3.0%
175.0,0.08977,0.0046,-0.0046,0.00052,-0.00052,3.0%,-3.0%

