#: table_doi: 10.17182/hepdata.6191.v1/t16
#: name: Table 16
#: description: R=SIG(L)/SIG(T) is taken to be R(QCD).

#: data_file: Table16.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.18
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
11.75,0.31578,0.00601,-0.00601,0.00371,-0.00371,3.0%,-3.0%
13.25,0.31458,0.00608,-0.00608,0.00357,-0.00357,3.0%,-3.0%
15.0,0.30259,0.00548,-0.00548,0.00338,-0.00338,3.0%,-3.0%
17.0,0.30863,0.00617,-0.00617,0.00346,-0.00346,3.0%,-3.0%
19.0,0.31282,0.00675,-0.00675,0.00352,-0.00352,3.0%,-3.0%
21.5,0.30169,0.00378,-0.00378,0.00275,-0.00275,3.0%,-3.0%
24.5,0.30175,0.00411,-0.00411,0.00236,-0.00236,3.0%,-3.0%
28.0,0.30764,0.00468,-0.00468,0.0022,-0.0022,3.0%,-3.0%
32.5,0.30751,0.00373,-0.00373,0.00199,-0.00199,3.0%,-3.0%
37.5,0.29904,0.00349,-0.00349,0.00149,-0.00149,3.0%,-3.0%
43.0,0.30168,0.00349,-0.00349,0.00137,-0.00137,3.0%,-3.0%
49.5,0.31585,0.00932,-0.00932,0.00336,-0.00336,3.0%,-3.0%
57.0,0.29215,0.00642,-0.00642,0.00158,-0.00158,3.0%,-3.0%
65.5,0.29697,0.00685,-0.00685,0.00173,-0.00173,3.0%,-3.0%

