#: table_doi: 10.17182/hepdata.6191.v1/t8
#: name: Table 8
#: description: R=SIG(L)/SIG(T) is taken to be zero.

#: data_file: Table8.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.35
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
13.25,0.1829,0.00423,-0.00423,0.00236,-0.00236,3.0%,-3.0%
15.0,0.18873,0.00387,-0.00387,0.00241,-0.00241,3.0%,-3.0%
17.0,0.17893,0.00398,-0.00398,0.00191,-0.00191,3.0%,-3.0%
19.0,0.17382,0.00416,-0.00416,0.00197,-0.00197,3.0%,-3.0%
21.5,0.18531,0.00393,-0.00393,0.00204,-0.00204,3.0%,-3.0%
24.5,0.17836,0.00288,-0.00288,0.00132,-0.00132,3.0%,-3.0%
28.0,0.17729,0.00268,-0.00268,0.00109,-0.00109,3.0%,-3.0%
32.5,0.17803,0.00203,-0.00203,0.00095,-0.00095,3.0%,-3.0%
37.5,0.17081,0.00189,-0.00189,0.00074,-0.00074,3.0%,-3.0%
43.0,0.17085,0.00177,-0.00177,0.00099,-0.00099,3.0%,-3.0%
49.5,0.16732,0.00178,-0.00178,0.00076,-0.00076,3.0%,-3.0%
57.0,0.16457,0.00179,-0.00179,0.00087,-0.00087,3.0%,-3.0%
65.5,0.16165,0.00208,-0.00208,0.00078,-0.00078,3.0%,-3.0%
75.0,0.15936,0.00246,-0.00246,0.001,-0.001,3.0%,-3.0%
86.0,0.15969,0.00255,-0.00255,0.00073,-0.00073,3.0%,-3.0%
99.0,0.15057,0.00272,-0.00272,0.00057,-0.00057,3.0%,-3.0%
115.5,0.15741,0.00572,-0.00572,0.00064,-0.00064,3.0%,-3.0%
137.5,0.14745,0.00582,-0.00582,0.00061,-0.00061,3.0%,-3.0%

