#: table_doi: 10.17182/hepdata.6191.v1/t10
#: name: Table 10
#: description: R=SIG(L)/SIG(T) is taken to be zero.

#: data_file: Table10.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.55
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
15.0,0.05869,0.00241,-0.00241,0.00268,-0.00268,3.0%,-3.0%
17.0,0.05714,0.00256,-0.00256,0.00229,-0.00229,3.0%,-3.0%
19.0,0.06287,0.00303,-0.00303,0.00206,-0.00206,3.0%,-3.0%
21.5,0.0592,0.00264,-0.00264,0.00177,-0.00177,3.0%,-3.0%
24.5,0.05595,0.0028,-0.0028,0.00147,-0.00147,3.0%,-3.0%
28.0,0.05904,0.00172,-0.00172,0.0013,-0.0013,3.0%,-3.0%
32.5,0.05542,0.00128,-0.00128,0.00149,-0.00149,3.0%,-3.0%
37.5,0.05424,0.00144,-0.00144,0.00125,-0.00125,3.0%,-3.0%
43.0,0.05392,0.0011,-0.0011,0.00128,-0.00128,3.0%,-3.0%
49.5,0.05353,0.00114,-0.00114,0.00111,-0.00111,3.0%,-3.0%
57.0,0.05301,0.00114,-0.00114,0.00088,-0.00088,3.0%,-3.0%
65.5,0.05178,0.0012,-0.0012,0.00076,-0.00076,3.0%,-3.0%
75.0,0.05248,0.00132,-0.00132,0.00068,-0.00068,3.0%,-3.0%
86.0,0.04811,0.00142,-0.00142,0.00057,-0.00057,3.0%,-3.0%
99.0,0.0504,0.00176,-0.00176,0.00057,-0.00057,3.0%,-3.0%
115.5,0.04865,0.00175,-0.00175,0.00048,-0.00048,3.0%,-3.0%
137.5,0.04489,0.00184,-0.00184,0.00042,-0.00042,3.0%,-3.0%
175.0,0.0393,0.00312,-0.00312,0.0004,-0.0004,3.0%,-3.0%
230.0,0.04154,0.00459,-0.00459,0.00036,-0.00036,3.0%,-3.0%

