#: table_doi: 10.17182/hepdata.6191.v1/t7
#: name: Table 7
#: description: R=SIG(L)/SIG(T) is taken to be zero.

#: data_file: Table7.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.275
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
13.25,0.25851,0.00631,-0.00631,0.00291,-0.00291,3.0%,-3.0%
15.0,0.24795,0.00543,-0.00543,0.00319,-0.00319,3.0%,-3.0%
17.0,0.23909,0.00569,-0.00569,0.00262,-0.00262,3.0%,-3.0%
19.0,0.23758,0.00624,-0.00624,0.00282,-0.00282,3.0%,-3.0%
21.5,0.23279,0.00551,-0.00551,0.00242,-0.00242,3.0%,-3.0%
24.5,0.2345,0.00436,-0.00436,0.00137,-0.00137,3.0%,-3.0%
28.0,0.23886,0.00306,-0.00306,0.00135,-0.00135,3.0%,-3.0%
32.5,0.23258,0.00305,-0.00305,0.00113,-0.00113,3.0%,-3.0%
37.5,0.2206,0.00266,-0.00266,0.001,-0.001,3.0%,-3.0%
43.0,0.22277,0.00266,-0.00266,0.00087,-0.00087,3.0%,-3.0%
49.5,0.22205,0.00303,-0.00303,0.0012,-0.0012,3.0%,-3.0%
57.0,0.21609,0.00295,-0.00295,0.0009,-0.0009,3.0%,-3.0%
65.5,0.22351,0.00369,-0.00369,0.00118,-0.00118,3.0%,-3.0%
75.0,0.20662,0.00367,-0.00367,0.00152,-0.00152,3.0%,-3.0%
86.0,0.21105,0.00652,-0.00652,0.00092,-0.00092,3.0%,-3.0%
99.0,0.2138,0.00863,-0.00863,0.0008,-0.0008,3.0%,-3.0%
115.5,0.19842,0.00918,-0.00918,0.00081,-0.00081,3.0%,-3.0%

