#: table_doi: 10.17182/hepdata.6191.v1/t19
#: name: Table 19
#: description: R=SIG(L)/SIG(T) is taken to be R(QCD).

#: data_file: Table19.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.35
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
13.25,0.18309,0.00423,-0.00423,0.00236,-0.00236,3.0%,-3.0%
15.0,0.18897,0.00387,-0.00387,0.00241,-0.00241,3.0%,-3.0%
17.0,0.17921,0.00399,-0.00399,0.00191,-0.00191,3.0%,-3.0%
19.0,0.17414,0.00417,-0.00417,0.00197,-0.00197,3.0%,-3.0%
21.5,0.18573,0.00394,-0.00394,0.00204,-0.00204,3.0%,-3.0%
24.5,0.17887,0.00289,-0.00289,0.00132,-0.00132,3.0%,-3.0%
28.0,0.17794,0.00269,-0.00269,0.00109,-0.00109,3.0%,-3.0%
32.5,0.17863,0.00204,-0.00204,0.00097,-0.00097,3.0%,-3.0%
37.5,0.17134,0.0019,-0.0019,0.00074,-0.00074,3.0%,-3.0%
43.0,0.1715,0.00178,-0.00178,0.00099,-0.00099,3.0%,-3.0%
49.5,0.16813,0.00179,-0.00179,0.00076,-0.00076,3.0%,-3.0%
57.0,0.16549,0.0018,-0.0018,0.00087,-0.00087,3.0%,-3.0%
65.5,0.16244,0.00209,-0.00209,0.00078,-0.00078,3.0%,-3.0%
75.0,0.16033,0.00247,-0.00247,0.00102,-0.00102,3.0%,-3.0%
86.0,0.16099,0.00257,-0.00257,0.00073,-0.00073,3.0%,-3.0%
99.0,0.15219,0.00275,-0.00275,0.00057,-0.00057,3.0%,-3.0%
115.5,0.1587,0.00577,-0.00577,0.00066,-0.00066,3.0%,-3.0%
137.5,0.14921,0.00589,-0.00589,0.00062,-0.00062,3.0%,-3.0%

