#: table_doi: 10.17182/hepdata.6191.v1/t18
#: name: Table 18
#: description: R=SIG(L)/SIG(T) is taken to be R(QCD).

#: data_file: Table18.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.275
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
13.25,0.25894,0.00632,-0.00632,0.00291,-0.00291,3.0%,-3.0%
15.0,0.24846,0.00544,-0.00544,0.00319,-0.00319,3.0%,-3.0%
17.0,0.2397,0.0057,-0.0057,0.00263,-0.00263,3.0%,-3.0%
19.0,0.23833,0.00626,-0.00626,0.00282,-0.00282,3.0%,-3.0%
21.5,0.23372,0.00553,-0.00553,0.00244,-0.00244,3.0%,-3.0%
24.5,0.23571,0.00438,-0.00438,0.00137,-0.00137,3.0%,-3.0%
28.0,0.23997,0.00307,-0.00307,0.00135,-0.00135,3.0%,-3.0%
32.5,0.23397,0.00307,-0.00307,0.00114,-0.00114,3.0%,-3.0%
37.5,0.22177,0.00267,-0.00267,0.001,-0.001,3.0%,-3.0%
43.0,0.22432,0.00267,-0.00267,0.00088,-0.00088,3.0%,-3.0%
49.5,0.22336,0.00305,-0.00305,0.0012,-0.0012,3.0%,-3.0%
57.0,0.21766,0.00297,-0.00297,0.0009,-0.0009,3.0%,-3.0%
65.5,0.22559,0.00372,-0.00372,0.0012,-0.0012,3.0%,-3.0%
75.0,0.20918,0.00372,-0.00372,0.00154,-0.00154,3.0%,-3.0%
86.0,0.21299,0.00658,-0.00658,0.00094,-0.00094,3.0%,-3.0%
99.0,0.21647,0.00874,-0.00874,0.00081,-0.00081,3.0%,-3.0%
115.5,0.20187,0.00934,-0.00934,0.00083,-0.00083,3.0%,-3.0%

