#: table_doi: 10.17182/hepdata.6191.v1/t12
#: name: Table 12
#: description: R=SIG(L)/SIG(T) is taken to be zero.

#: data_file: Table12.yaml
#: keyword reactions: MU+ DEUT --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: P [GEV],120 TO 280
#: RE,MU+ DEUT --> MU+ X
#: X,0.75
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between the 120 and 200 GeV data and 1.5 PCT between the 280 and 200 GeV data -"
32.5,0.00867,0.00054,-0.00054,0.00107,-0.00107,3.0%,-3.0%
37.5,0.00984,0.00073,-0.00073,0.00107,-0.00107,3.0%,-3.0%
43.0,0.00894,0.00038,-0.00038,0.00128,-0.00128,3.0%,-3.0%
49.5,0.00916,0.00042,-0.00042,0.00118,-0.00118,3.0%,-3.0%
57.0,0.00852,0.00042,-0.00042,0.00109,-0.00109,3.0%,-3.0%
65.5,0.00792,0.00044,-0.00044,0.0009,-0.0009,3.0%,-3.0%
75.0,0.00794,0.00048,-0.00048,0.0008,-0.0008,3.0%,-3.0%
86.0,0.00747,0.00051,-0.00051,0.00062,-0.00062,3.0%,-3.0%
99.0,0.00798,0.00059,-0.00059,0.00054,-0.00054,3.0%,-3.0%
115.5,0.00657,0.00063,-0.00063,0.00045,-0.00045,3.0%,-3.0%
137.5,0.00631,0.00067,-0.00067,0.00035,-0.00035,3.0%,-3.0%
175.0,0.00541,0.00116,-0.00116,0.00028,-0.00028,3.0%,-3.0%
230.0,0.00639,0.00172,-0.00172,0.00021,-0.00021,3.0%,-3.0%

