6 
0.0  0.4
 23
 50    60   54.5  23143       0.7          +11.7 -11.0
 60    70   64.6  8818        0.3          +10.6 -10.0
 70    80   74.6  3772        0.5          +10.1 -9.5
 80    90   84.7  1759        0.7          +9.8 -9.2
 90   100   94.7  893.0       1.0          +9.6 -9.0
100   110  104.7  482.8       0.4          +9.4 -8.8
110   120  114.7  274.4       0.5          +9.3 -8.7
120   130  124.8  158.8       0.3          +9.2 -8.6
130   145  137.0  86.44       0.4          +9.2 -8.6
145   160  152.0  43.38       0.5          +9.2 -8.6
160   180  169.3  21.31       0.3          +9.3 -8.7
180   200  189.3  9.810       0.4          +9.4 -8.8
200   220  209.4  4.719       0.5          +9.5 -9.0
220   240  229.4  2.417       0.6          +9.7 -9.1
240   265  251.6  1.177       0.8          +10.0 -9.4
265   295  278.8  0.5084      1.1          +10.4 -9.8
295   325  308.9  0.2097      1.8          +10.9 -10.3
325   360  341.1  0.08189     2.6          +11.6 -11.0
360   400  378.2  0.02909     4.1          +12.6 -11.9
400   445  420.2  0.009915    6.6          +14.0 -13.2
445   490  465.2  0.003032    11.8         +15.8 -15.0
490   540  512.1  0.0005925   25.8         +18.2 -17.2
540   665  584.8  0.00008917  40.8         +22.6 -21.1
0.4  0.8
22
 50    60   54.5  21566       0.8          +11.8 -11.2
 60    70   64.6  8106        0.3          +10.9 -10.3
 70    80   74.6  3471        0.5          +10.4 -9.8
 80    90   84.7  1611        0.7          +10.1 -9.6
 90   100   94.7  799.8       1.0          +10.0 -9.4
100   110  104.7  435.3       0.4          +9.9 -9.3
110   120  114.7  241.5       0.6          +9.8 -9.3
120   130  124.8  140.9       0.4          +9.8 -9.2
130   145  137.0  76.38       0.4          +9.8 -9.2
145   160  152.0  38.05       0.6          +9.9 -9.3
160   180  169.2  18.11       0.3          +10.0 -9.5
180   200  189.3  8.105       0.4          +10.2 -9.6
200   220  209.4  3.779       0.5          +10.5 -9.9
220   240  229.4  1.853       0.7          +10.8 -10.2
240   265  251.6  0.8718      0.9          +11.1 -10.5
265   295  278.8  0.3532      1.3          +11.7 -11.1
295   325  308.8  0.1381      2.1          +12.5 -11.9
325   360  340.9  0.05270     3.1          +13.5 -12.9
360   400  378.0  0.01539     5.3          +15.0 -14.3
400   445  419.9  0.003741    9.8          +17.1 -16.2
445   495  466.7  0.0007379   20.4         +20.2 -19.1
495   635  539.9  0.00006021  40.8         +26.0 -24.2
0.8  1.2
20
 50    60   54.5  17563       0.8          +12.4 -11.7
 60    70   64.6  6579        1.3          +11.7 -11.0
 70    80   74.6  2786        2.0          +11.3 -10.7
 80    90   84.7  1283        3.0          +11.1 -10.5
 90   100   94.7  654.0       1.1          +10.5 -9.9
100   110  104.7  338.0       1.5          +10.5 -9.9
110   125  116.9  169.0       0.5          +10.4 -9.8
125   140  132.0  74.54       0.8          +10.5 -9.9
140   155  147.0  36.13       0.5          +10.6 -10.0
155   170  162.0  17.94       0.8          +10.8 -10.2
170   190  179.2  8.458       1.0          +11.1 -10.5
190   210  199.3  3.641       0.6          +11.6 -10.9
