coalition_labels,size,chi2,is_outlier
ubar|g|d|u|c,5,0.05232099,0
sbar|ubar|dbar|g|u|s,6,0.05198692,0
ubar|dbar|g|d|u|c,6,0.05193818,0
cbar|g|d|s,4,0.05187695,0
sbar|ubar|dbar|g|d|c,6,0.05184460,0
cbar|sbar|ubar|dbar|u|s|c,7,0.05167416,0
sbar|dbar|g|d|u|c,6,0.05165150,0
cbar|sbar|dbar|d|u|s|c,7,0.05114462,0
sbar|ubar|dbar|g|d,5,0.05070385,0
sbar|dbar|u|s|c,5,0.05060927,0
cbar|sbar|g|d|u|s|c,7,0.05015003,0
sbar|ubar|dbar|d|u,5,0.04999786,0
ubar|dbar|g|d|u,5,0.04953800,0
cbar|sbar|dbar|g|u,5,0.04911055,0
ubar|d|c,3,0.04900388,0
sbar|dbar|u,3,0.04893317,0
cbar|ubar|dbar|d|u|c,6,0.04888422,0
cbar|sbar|ubar|dbar|d|c,6,0.04887464,0
sbar|ubar|dbar|u|s|c,6,0.04886447,0
sbar|dbar|g|u|s,5,0.04867491,0
cbar|ubar|dbar|d,4,0.04849116,0
cbar|sbar|ubar|g|u|s|c,7,0.04845583,0
cbar|sbar|ubar|dbar|d,5,0.04839927,0
sbar|dbar|d|u|s|c,6,0.04829379,0
ubar|dbar|g|d,4,0.04822100,0
cbar|g|d|s|c,5,0.04810480,0
cbar|sbar|g|d|u|s,6,0.04768986,0
cbar|sbar|dbar|u|s|c,6,0.04730439,0
cbar|sbar|ubar|dbar|g|u,6,0.04723146,0
cbar|ubar|dbar|d|u,5,0.04714538,0
ubar|dbar|g|d|c,5,0.04688024,0
cbar|sbar|dbar|g|u|s,6,0.04652745,0
cbar|ubar|dbar|d|c,5,0.04649118,0
cbar|sbar|g|d|s,5,0.04635390,0
sbar|ubar|dbar|g|u,5,0.04601188,0
cbar|dbar|g|d|u|s|c,7,0.04598408,0
cbar|sbar|dbar|g|d|u,6,0.04591207,0
cbar|sbar|dbar|d|u|s,6,0.04588098,0
cbar|sbar|dbar|g|d|s|c,7,0.04584348,0
sbar|ubar|d|u|c,5,0.04572766,0
cbar|sbar|ubar|dbar|u|c,6,0.04571555,0
sbar|ubar|dbar|u|c,5,0.04565680,0
cbar|sbar|ubar|dbar|u|s,6,0.04556079,0
sbar|ubar|d,3,0.04528565,0
cbar|sbar|ubar|g|u|s,6,0.04514867,0
cbar|sbar|g|d|s|c,6,0.04506871,0
cbar|ubar|dbar|g|u|s|c,7,0.04467543,0
sbar|dbar|g|d|u,5,0.04464749,0
cbar|ubar|g|s,4,0.04449424,0
cbar|sbar|dbar|g|d|s,6,0.04413730,0
sbar|ubar|d|u,4,0.04401717,0
sbar|g|d|u|s|c,6,0.04390169,0
cbar|g|d|u|s,5,0.04356762,0
cbar|g|d|u|s|c,6,0.04353475,0
cbar|sbar|dbar|u,4,0.04337010,0
sbar|ubar|d|c,4,0.04325273,0
cbar|dbar|g|d|u|s,6,0.04302951,0
cbar|d|s,3,0.04291819,0
cbar|sbar|dbar|d|u|c,6,0.04285648,0
sbar|dbar|d|u|c,5,0.04274833,0
ubar|d|u,3,0.04259155,0
sbar|dbar|d|u|s,5,0.04254648,0
sbar|ubar|dbar|u|s,5,0.04226776,0
sbar|ubar|g|u|s|c,6,0.04224414,0
cbar|sbar|ubar|dbar|g|s|c,7,0.04201040,0
sbar|dbar|u|s,4,0.04190767,0
ubar|d|u|c,4,0.04182228,0
cbar|ubar|g|s|c,5,0.04157443,0
g|d|s,3,0.04153694,0
ubar|dbar|d|u|c,5,0.04097318,0
sbar|g|d|u|s,5,0.04095584,0
cbar|ubar|dbar|g|u|s,6,0.04086641,0
dbar|g|d|u|s|c,6,0.04076425,0
sbar|ubar|dbar|d|c,5,0.04074161,0
cbar|ubar|g|u|s|c,6,0.04069064,0
sbar|dbar|g|d|s|c,6,0.04040145,0
cbar|sbar|ubar|g|s,5,0.04012377,0
cbar|ubar|g|u|s,5,0.03986942,0
cbar|dbar|g|d|s,5,0.03984930,0
