player,coalition_without,v_without,v_with,delta_v,is_outlier
sbar,g|d|s|c,0.02549576,0.01972862,-0.00576714,0
cbar,sbar|ubar|dbar|g|d|s|c,0.03166707,0.03741336,0.00574629,0
ubar,sbar|u|s,0.01168904,0.01743113,0.00574209,0
sbar,ubar|dbar|d|u|s,0.03208600,0.03782428,0.00573827,0
s,ubar|u,0.00790072,0.01363679,0.00573607,0
dbar,cbar|g|d|u|s,0.02855801,0.02282612,-0.00573188,0
sbar,cbar|ubar|u,0.01084994,0.01657994,0.00573000,0
cbar,sbar|ubar|dbar|g|d|s,0.03006461,0.03579168,0.00572708,0
cbar,sbar|ubar|dbar|d|s|c,0.03060426,0.03631974,0.00571548,0
sbar,cbar|ubar|dbar|g|s,0.01238006,0.01809498,0.00571492,0
cbar,g|d|u|s|c,0.02313852,0.02883730,0.00569878,0
cbar,sbar|ubar|dbar|d|s,0.02906239,0.03475824,0.00569586,0
ubar,sbar|dbar|g|d|u,0.02578556,0.03146928,0.00568372,0
c,cbar|sbar|ubar|dbar|g|u|s,0.03394259,0.03962392,0.00568133,0
cbar,g|d|u|s,0.02288022,0.02855801,0.00567778,0
sbar,cbar|dbar|g|d|c,0.01111520,0.01679287,0.00567767,0
cbar,d|u|s|c,0.02169481,0.02736317,0.00566837,0
c,sbar|ubar|dbar|g|u|s,0.03228129,0.03794325,0.00566196,0
cbar,d|u|s,0.02149670,0.02714367,0.00564697,0
sbar,ubar|d|c,0.02818920,0.02255385,-0.00563535,0
s,cbar|sbar|dbar|d|c,0.01563958,0.02126077,0.00562119,0
c,cbar|sbar|ubar|dbar|u|s,0.03236302,0.03798298,0.00561996,0
d,cbar|sbar|dbar|g|s,0.01448051,0.02009382,0.00561331,0
d,cbar|sbar|ubar|dbar|c,0.01953388,0.02513546,0.00560158,0
ubar,sbar|g|u|s|c,0.01694544,0.02254615,0.00560071,0
c,sbar|ubar|dbar|u|s,0.03073125,0.03633143,0.00560017,0
sbar,cbar|g|u|s,0.00861817,0.01420703,0.00558886,0
s,dbar|u,0.02111251,0.01553978,-0.00557274,0
d,sbar,0.00323622,0.00880891,0.00557269,0
ubar,cbar|u|c,0.00752188,0.01308861,0.00556673,0
d,cbar|ubar|dbar|g|u|c,0.02504441,0.03056995,0.00552554,0
sbar,d|s|c,0.02419965,0.01868238,-0.00551726,0
dbar,cbar|d|u|s,0.02714367,0.02164367,-0.00550000,0
sbar,cbar|g|d,0.01891302,0.01341885,-0.00549417,0
dbar,cbar,0.00045778,0.00594943,0.00549165,0
sbar,ubar|dbar|g|d|u|s,0.03348591,0.03897278,0.00548687,0
u,ubar|g|c,0.00703094,0.01251607,0.00548513,0
d,g|u,0.00683370,0.01231309,0.00547939,0
sbar,cbar|ubar|g|u,0.01321931,0.01869586,0.00547655,0
sbar,ubar|u|s|c,0.01524614,0.02070424,0.00545811,0
cbar,sbar|ubar|dbar|g|d|u|s|c,0.04283364,0.04828262,0.00544897,0
ubar,sbar|dbar|d|u,0.02457613,0.03001425,0.00543812,0
s,ubar|g|u,0.01023981,0.01566966,0.00542985,0
cbar,sbar|ubar|dbar|g|d|u|s,0.03897278,0.04440199,0.00542921,0
cbar,sbar|ubar|dbar|d|u|s|c,0.04162393,0.04704242,0.00541849,0
dbar,sbar|d|c,0.00902348,0.01444064,0.00541716,0
d,sbar|ubar|dbar|u|c,0.03981997,0.03442157,-0.00539840,0
cbar,sbar|ubar|dbar|d|u|s,0.03782428,0.04322259,0.00539832,0
d,sbar|dbar|g|u|s,0.03311714,0.02773039,-0.00538675,0
s,cbar|sbar|dbar|g|c,0.02367180,0.01828979,-0.00538202,0
ubar,sbar|dbar|c,0.02467771,0.01930722,-0.00537049,0
ubar,sbar|u|s|c,0.01534880,0.02070424,0.00535544,0
u,ubar|c,0.00477750,0.01011644,0.00533894,0
s,cbar|sbar|dbar|g|d|c,0.01679287,0.02210632,0.00531345,0
ubar,sbar|dbar|g|d|u|c,0.03064504,0.03593814,0.00529310,0
d,sbar|ubar|dbar|u|s|c,0.03633143,0.04162393,0.00529250,0
dbar,cbar|g,0.00243378,0.00769385,0.00526007,0
dbar,cbar|sbar|ubar|d|u|c,0.03286077,0.03811667,0.00525590,0
sbar,cbar|d,0.01733728,0.01209524,-0.00524204,0
sbar,ubar|g|u|s|c,0.01733924,0.02254615,0.00520691,0
dbar,ubar|g|s,0.01469533,0.00948923,-0.00520610,0
d,cbar|sbar|ubar|dbar|g|c,0.02133405,0.02653591,0.00520185,0
u,cbar|ubar|g|c,0.01032722,0.01551813,0.00519091,0
sbar,dbar|d,0.00671049,0.01190026,0.00518977,0
dbar,sbar|g|d|c,0.01037788,0.01556506,0.00518718,0
d,sbar|g,0.00493154,0.01010263,0.00517109,0
s,sbar|ubar,0.00507329,0.01020368,0.00513040,0
s,ubar|u|c,0.01011644,0.01524614,0.00512970,0
ubar,sbar|dbar|g|c,0.02620478,0.02107851,-0.00512627,0
s,dbar|d|u,0.01298746,0.01811130,0.00512384,0
