0.1097   19.86  0.353  1.639e-09    0.8  -0.2   1.0   0.4   0.8  0.043  0.3599  0.0054  0.0054
0.1100   26.36  0.464  8.460e-10    0.7   0.0   1.3   0.7   1.0  0.043  0.3580  0.0055  0.0067
0.1106   34.48  0.601  4.834e-10    0.6   0.1   1.7   1.4   1.3  0.043  0.3849  0.0110  0.0099
0.1390   11.77  0.167  3.463e-09    1.3  -0.6   1.2   0.3   1.1  0.113  0.2929  0.0151  0.0064
0.1372   15.03  0.215  2.354e-09    1.1  -0.4   1.2   0.3   0.8  0.101  0.3332  0.0065  0.0063
0.1388   19.88  0.280  1.243e-09    0.9  -0.2   1.4   0.2   0.6  0.089  0.3291  0.0043  0.0058
0.1393   26.62  0.373  6.462e-10    0.7  -0.1   1.4   0.4   0.8  0.080  0.3328  0.0041  0.0059
0.1400   35.22  0.489  3.446e-10    0.6   0.0   1.4   0.8   1.0  0.073  0.3419  0.0067  0.0071
0.1790   15.07  0.165  1.705e-09    1.2  -0.5   1.3   0.3   0.5  0.085  0.3063  0.0084  0.0058
0.1795   19.99  0.218  8.991e-10    1.0  -0.3   1.5   0.2   0.6  0.075  0.2978  0.0050  0.0057
0.1791   26.74  0.291  4.814e-10    0.8  -0.1   1.7   0.2   0.6  0.066  0.3028  0.0045  0.0061
0.1799   35.13  0.378  2.574e-10    0.7   0.0   1.9   0.4   0.8  0.060  0.3017  0.0053  0.0067
0.1807   45.74  0.488  1.473e-10    0.6   0.1   2.1   0.8   1.0  0.055  0.3201  0.0099  0.0081
0.2240   15.14  0.133  1.192e-09    1.2  -0.4   1.0   0.3   0.5  0.074  0.2661  0.0083  0.0045
0.2242   19.97  0.175  6.788e-10    1.0  -0.2   1.3   0.3   0.5  0.064  0.2729  0.0051  0.0047
0.2241   26.76  0.233  3.529e-10    0.8  -0.1   1.7   0.2   0.6  0.056  0.2674  0.0043  0.0052
0.2239   35.30  0.306  1.864e-10    0.7   0.0   2.0   0.3   0.6  0.050  0.2609  0.0047  0.0058
0.2249   46.57  0.401  9.883e-11    0.6   0.1   2.4   0.5   0.8  0.045  0.2614  0.0075  0.0071
0.2646   16.06  0.119  9.405e-10    0.9  -0.1   0.8   0.0   0.1  0.065  0.2782  0.0232  0.0033
0.2740   19.99  0.143  4.845e-10    0.8   0.0   0.9   0.2   0.6  0.056  0.2346  0.0055  0.0031
0.2739   26.76  0.191  2.540e-10    0.7   0.1   1.2   0.2   0.5  0.049  0.2292  0.0045  0.0035
0.2745   35.42  0.251  1.398e-10    0.6   0.2   1.8   0.2   0.6  0.043  0.2328  0.0048  0.0046
0.2744   46.98  0.332  7.511e-11    0.6   0.3   2.4   0.4   0.7  0.038  0.2354  0.0071  0.0060
0.2769   59.79  0.413  3.105e-11    0.5   0.3   2.9   0.6   1.3  0.035  0.1698  0.0183  0.0057
0.3289   20.73  0.124  3.185e-10    0.0   0.8   1.2   0.2   0.5  0.050  0.1981  0.0058  0.0031
0.3440   26.73  0.153  1.567e-10    0.1   0.7   1.4   0.2   0.5  0.042  0.1739  0.0032  0.0029
0.3447   35.48  0.202  8.717e-11    0.2   0.7   1.5   0.1   0.5  0.037  0.1778  0.0032  0.0031
0.3455   46.61  0.262  4.561e-11    0.3   0.6   1.6   0.2   0.5  0.032  0.1694  0.0039  0.0032
0.3491   61.17  0.338  2.314e-11    0.3   0.6   2.6   0.4   1.2  0.029  0.1592  0.0106  0.0047
0.4334   27.70  0.125  8.355e-11   -2.7   3.8   2.8   0.2   0.5  0.037  0.1246  0.0035  0.0068
0.4657   35.56  0.150  3.690e-11   -1.9   3.1   3.3   0.1   0.5  0.031  0.0999  0.0021  0.0050
0.4702   46.58  0.194  1.972e-11   -1.3   2.5   3.6   0.1   0.5  0.027  0.0960  0.0024  0.0044
0.4772   62.24  0.254  8.989e-12   -0.8   2.1   3.7   0.2   1.1  0.023  0.0835  0.0054  0.0037
