coalition_labels,size,chi2,is_outlier
cbar|sbar|ubar|dbar|g|d|u|s|c,9,0.02103818,1
cbar|sbar|ubar|dbar|g|u|s|c,8,0.01987900,0
cbar|sbar|ubar|dbar|g|u|c,7,0.01980605,0
cbar|sbar|ubar|dbar|d|u|s|c,8,0.01947001,0
cbar|sbar|ubar|g|d|u|s|c,8,0.01881851,0
cbar|sbar|ubar|dbar|g|d|u|c,8,0.01863695,0
cbar|sbar|ubar|dbar|u|s|c,7,0.01818222,0
cbar|sbar|ubar|dbar|u|c,6,0.01801635,0
cbar|ubar|g|d|u|s|c,7,0.01786472,0
cbar|sbar|ubar|d|u|s|c,7,0.01766099,0
sbar|ubar|dbar|g|u|c,6,0.01740237,0
cbar|ubar|dbar|g|d|u|s|c,8,0.01738686,0
sbar|ubar|dbar|g|d|u|s|c,8,0.01736095,0
cbar|sbar|ubar|dbar|g|d|u|s,8,0.01729788,0
cbar|sbar|ubar|dbar|d|u|c,7,0.01697584,0
sbar|ubar|dbar|g|u|s|c,7,0.01689285,0
cbar|sbar|dbar|g|u|c,6,0.01680549,0
cbar|ubar|d|u|s|c,6,0.01676887,0
cbar|sbar|ubar|dbar|g|u,6,0.01613870,0
cbar|sbar|ubar|dbar|g|u|s,7,0.01607474,0
cbar|sbar|ubar|g|d|u|s,7,0.01592078,0
cbar|ubar|dbar|d|u|s|c,7,0.01588034,0
cbar|sbar|dbar|g|u|s|c,7,0.01585827,0
cbar|sbar|ubar|dbar|d|u|s,7,0.01580360,0
sbar|ubar|dbar|d|u|s|c,7,0.01577395,0
cbar|sbar|dbar|g|d|u|s|c,8,0.01571134,0
sbar|ubar|dbar|u|c,5,0.01559385,0
sbar|dbar|g|u|c,5,0.01554863,0
sbar|ubar|dbar|g|d|u|c,7,0.01554243,0
cbar|ubar|g|d|u|s,6,0.01546960,0
cbar|sbar|dbar|u|c,5,0.01525502,0
sbar|ubar|dbar|u|s|c,6,0.01517724,0
cbar|ubar|dbar|g|u|s|c,7,0.01506751,0
cbar|sbar|ubar|dbar|g|d|u,7,0.01503357,0
cbar|sbar|ubar|d|u|s,6,0.01483724,0
sbar|ubar|g|d|u|s|c,7,0.01463327,0
cbar|sbar|ubar|dbar|u|s,6,0.01445184,0
cbar|ubar|d|u|s,5,0.01444775,0
cbar|sbar|ubar|dbar|u,5,0.01442289,0
cbar|ubar|dbar|g|u|c,6,0.01441301,0
cbar|ubar|dbar|g|d|u|c,7,0.01440409,0
cbar|sbar|dbar|u|s|c,6,0.01440073,0
cbar|sbar|dbar|d|u|s|c,7,0.01438240,0
cbar|sbar|dbar|g|d|u|c,7,0.01433033,0
cbar|sbar|ubar|g|d|u|c,7,0.01430086,0
sbar|ubar|dbar|g|u,5,0.01428108,0
sbar|ubar|dbar|g|d|u|s,7,0.01416671,0
cbar|ubar|dbar|g|d|u|s,7,0.01414932,0
cbar|sbar|ubar|dbar|g|d|s|c,8,0.01411464,0
cbar|sbar|ubar|g|u|s|c,7,0.01410162,0
cbar|ubar|g|d|s|c,6,0.01404332,0
sbar|dbar|g|u|s|c,6,0.01401894,0
sbar|dbar|u|c,4,0.01397948,0
cbar|sbar|ubar|g|d|s|c,7,0.01386936,0
sbar|ubar|dbar|d|u|c,6,0.01386249,0
ubar|dbar|g|d|u|s|c,7,0.01383347,0
ubar|g|d|u|s|c,6,0.01380327,0
sbar|ubar|dbar|g|u|s,6,0.01363461,0
cbar|sbar|dbar|g|u,5,0.01349187,0
sbar|ubar|d|u|s|c,6,0.01345678,0
cbar|sbar|ubar|dbar|d|u,6,0.01344636,0
cbar|ubar|dbar|u|s|c,6,0.01343240,0
cbar|ubar|d|s|c,5,0.01319475,0
sbar|dbar|g|d|u|s|c,7,0.01318087,0
cbar|sbar|ubar|d|u|c,6,0.01305037,0
cbar|sbar|ubar|dbar|g|c,6,0.01300560,0
cbar|sbar|ubar|d|s|c,6,0.01295912,0
cbar|sbar|dbar|d|u|c,6,0.01290844,0
cbar|sbar|ubar|u|s|c,6,0.01281543,0
cbar|ubar|dbar|d|u|c,6,0.01280464,0
cbar|sbar|ubar|dbar|d|s|c,7,0.01279376,0
sbar|dbar|g|u,4,0.01278099,0
cbar|sbar|ubar|dbar|g|s|c,7,0.01277625,0
cbar|ubar|g|d|u|c,6,0.01276546,0
cbar|ubar|dbar|d|u|s,6,0.01271670,0
ubar|d|u|s|c,5,0.01268845,0
cbar|ubar|dbar|u|c,5,0.01268498,0
cbar|ubar|g|d|s,5,0.01266951,0
sbar|ubar|dbar|d|u|s,6,0.01265355,0
sbar|ubar|dbar|u,4,0.01254639,0
sbar|dbar|u|s|c,5,0.01254271,0
sbar|ubar|dbar|g|d|u,6,0.01248513,0
cbar|sbar|g|d|u|s|c,7,0.01241206,0
cbar|sbar|dbar|g|u|s,6,0.01240774,0
sbar|dbar|g|d|u|c,6,0.01238255,0
cbar|sbar|dbar|g|d|u|s,7,0.01232477,0
ubar|dbar|d|u|s|c,6,0.01230811,0
cbar|dbar|g|d|u|s|c,7,0.01229965,0
sbar|ubar|g|d|u|s,6,0.01228149,0
ubar|dbar|g|u|s|c,6,0.01220518,0
ubar|dbar|g|u|c,5,0.01213323,0
cbar|sbar|ubar|dbar|g|d|c,7,0.01201571,0
cbar|sbar|dbar|u,4,0.01201517,0
cbar|sbar|ubar|g|d|s,6,0.01199294,0
sbar|ubar|dbar|u|s,5,0.01199283,0
cbar|ubar|g|u|s|c,6,0.01198754,0
ubar|g|d|u|s,5,0.01195410,0
cbar|sbar|ubar|g|u|c,6,0.01191216,0
cbar|ubar|d|s,4,0.01189499,0
sbar|dbar|d|u|s|c,6,0.01183324,0
cbar|ubar|dbar|g|u|s,6,0.01176613,0
cbar|g|d|u|s|c,6,0.01169789,0
cbar|dbar|g|u|c,5,0.01165210,0
cbar|ubar|dbar|g|d|s|c,7,0.01159109,0
cbar|ubar|d|u|c,5,0.01157663,0
cbar|sbar|ubar|g|d|u,6,0.01153998,0
cbar|sbar|d|u|s|c,6,0.01149371,0
cbar|sbar|ubar|dbar|c,5,0.01146320,0
ubar|dbar|g|d|u|c,6,0.01143348,0
cbar|sbar|ubar|dbar|g|d|s,7,0.01139552,0
cbar|sbar|ubar|dbar|s|c,6,0.01132678,0
cbar|ubar|dbar|g|d|u,6,0.01130353,0
cbar|dbar|g|u|s|c,6,0.01128643,0
sbar|dbar|u,3,0.01128557,0
cbar|ubar|dbar|g|u,5,0.01124861,0
sbar|ubar|d|u|s,5,0.01117895,0
cbar|sbar|ubar|d|s,5,0.01115674,0
sbar|ubar|dbar|g|c,5,0.01114757,0
ubar|dbar|g|d|u|s,6,0.01114198,0
cbar|sbar|ubar|g|u|s,6,0.01113979,0
sbar|dbar|g|u|s,5,0.01111437,0
cbar|sbar|dbar|g|d|u,6,0.01108066,0
cbar|sbar|dbar|d|u|s,6,0.01106961,0
cbar|dbar|d|u|s|c,6,0.01103236,0
cbar|sbar|dbar|u|s,5,0.01102397,0
sbar|ubar|dbar|g|d|s|c,7,0.01098305,0
sbar|dbar|d|u|c,5,0.01094198,0
ubar|d|u|s,4,0.01091323,0
