# correlation matrx from table 6-7-8 1608.01484
# |---Tab.6  ---|---Tab.8---|
# |---Tab.8^T---|---Tab.7---|

1.00	0.93	0.84	0.95	0.95	0.74	0.87	0.82	0.94	0.95	0.91	0.90	0.86	0.47	0.77	0.67
0.93	1.00	0.80	0.94	0.93	0.79	0.86	0.82	0.87	0.85	0.85	0.81	0.79	0.36	0.65	0.59
0.84	0.80	1.00	0.84	0.87	0.70	0.84	0.75	0.91	0.90	0.93	0.89	0.90	0.56	0.74	0.74
0.95	0.94	0.84	1.00	0.99	0.86	0.93	0.88	0.93	0.92	0.90	0.88	0.87	0.45	0.81	0.71
0.95	0.93	0.87	0.99	1.00	0.85	0.94	0.92	0.95	0.93	0.92	0.90	0.91	0.53	0.85	0.81
0.74	0.79	0.70	0.86	0.85	1.00	0.81	0.78	0.61	0.64	0.65	0.62	0.60	0.67	0.69	0.60
0.87	0.86	0.84	0.93	0.94	0.81	1.00	0.86	0.84	0.82	0.81	0.81	0.83	0.53	0.86	0.82
0.82	0.82	0.75	0.88	0.92	0.78	0.86	1.00	0.84	0.79	0.81	0.79	0.84	0.53	0.81	0.84
0.94	0.87	0.91	0.93	0.95	0.61	0.84	0.84	1.00	0.99	0.99	0.98	0.98	0.72	0.88	0.84
0.95	0.85	0.90	0.92	0.93	0.64	0.82	0.79	0.99    1.00	0.99	0.99	0.97	0.75	0.89	0.82
0.91	0.85	0.93	0.90	0.92	0.65	0.81	0.81	0.99    0.99    1.00	0.99	0.98	0.72	0.87	0.82
0.90	0.81	0.89	0.88	0.90	0.62	0.81	0.79	0.98    0.99    0.99    1.00	0.99	0.77	0.93	0.87
0.86	0.79	0.90	0.87	0.91	0.60	0.83	0.84	0.98    0.97    0.98    0.99    1.00	0.76	0.93	0.90
0.47	0.36	0.56	0.45	0.53	0.67	0.53	0.53	0.72    0.75    0.72    0.77    0.76    1.00	0.81	0.83
0.77	0.65	0.74	0.81	0.85	0.69	0.86	0.81	0.88    0.89    0.87    0.93    0.93    0.81    1.00	0.95
0.67	0.59	0.74	0.71	0.81	0.60	0.82	0.84	0.84    0.82    0.82    0.87    0.90    0.83    0.95    1.00






