# data from table 3 1608.01484
# etamin	etamx	sigma[pb]	stat	sys	sys_beam_en	sys_lumi
2.00	2.25	132.8	0.8	4.1	1.1	1.5	 
2.25	2.50	120.8	0.7	3.1	1.0	1.4
2.50	2.75	113.0	0.7	2.9	1.0	1.3
2.75	3.00	103.3	0.6	2.7	0.9	1.2
3.00	3.25	99.3	0.6	2.7	0.9	1.2
3.25	3.50	78.8	0.6	2.2	0.7	0.9
3.50	3.75	67.0	0.6	2.8	0.6	0.8
3.75	4.25	94.0	0.9	4.2	0.8	1.1
