ID,PTO,FNS,DAMP,IC,ModEv,XIR,XIF,NfFF,MaxNfAs,MaxNfPdf,Q0,alphas,Qref,QED,alphaqed,Qedref,SxRes,SxOrd,HQ,mc,Qmc,kcThr,mb,Qmb,kbThr,mt,Qmt,ktThr,CKM,MZ,MW,GF,SIN2TW,TMC,MP,Comments,global_nx,EScaleVar
1,0,ZM-VFNS,0,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 LO benchmark",0,1
2,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NLO benchmark",0,1
3,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NNLO benchmark",0,1
4,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.3,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NLO - Q0=1.3 For IC Test",0,1
5,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.3,0.118,91.2,0,0.007496252,1.777,0,LL,POLE,1.275,1.275,1.0,4.18,4.18,1.0,173.07,173.07,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NNLO - Q0=1.3 For IC Test",0,1
6,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NLO - HXSWG MSBar Masses",0,1
7,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.0,0.118,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NNLO - HXSWG MSBar Masses",0,1
8,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.0,0.1165,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NLO MSBAR (-1sig alpha_S)",0,1
9,2,FONLL-C,1,0,TRN,1.0,1.0,5,5,5,1.0,0.1165,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NNLO MSBAR (-1sig alpha_S)",0,1
10,1,FONLL-B,1,0,TRN,1.0,1.0,5,5,5,1.0,0.1195,91.2,0,0.007496252,1.777,0,LL,MSBAR,0.986,3.0,1.0,4.18,4.18,1.0,162.7,162.7,1.0,"0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152",91.1876,80.398,1.1663787e-05,0.23126,1,0.938,"3.0 NLO MSBAR (+1sig alpha_S)",0,1
