player,coalition_without,v_without,v_with,delta_v,is_outlier
dbar,sbar|g|u|c,0.00538679,0.01131272,0.00592592,0
dbar,cbar|sbar|g|u|c,0.00725583,0.01297069,0.00571486,0
dbar,sbar|ubar|g|u|c,0.00811982,0.01347767,0.00535784,0
dbar,sbar|g|u,0.00395452,0.00929181,0.00533729,0
u,cbar|sbar|ubar|dbar|g|d|s|c,0.01347993,0.01881675,0.00533683,0
dbar,sbar|g|u|s|c,0.00637221,0.01159002,0.00521781,0
u,cbar|sbar|ubar|dbar|g|s|c,0.01234092,0.01751201,0.00517109,0
dbar,cbar|sbar|ubar|g|u|c,0.01095654,0.01610332,0.00514678,0
dbar,cbar|sbar|g|u,0.00513832,0.01026449,0.00512617,0
ubar,cbar|sbar|g|d|u|s|c,0.01046850,0.01559203,0.00512354,0
u,cbar|sbar|ubar|dbar|d|s|c,0.01047161,0.01552787,0.00505626,0
dbar,cbar|sbar|g|u|s|c,0.00867850,0.01368526,0.00500676,0
dbar,sbar|u|c,0.00313409,0.00813053,0.00499644,0
u,cbar|sbar|ubar|dbar|g|d|c,0.01164095,0.01656593,0.00492497,0
u,cbar|sbar|ubar|dbar|s|c,0.00927674,0.01416725,0.00489051,0
ubar,cbar|sbar|d|u|s|c,0.00835275,0.01323290,0.00488015,0
u,sbar|ubar|dbar|g|d|s|c,0.01055127,0.01536726,0.00481598,0
u,cbar|sbar|dbar|g|d|s|c,0.00945930,0.01426127,0.00480197,0
dbar,cbar|sbar|u|c,0.00504662,0.00983181,0.00478519,0
ubar,cbar|g|d|u|s|c,0.00889266,0.01366868,0.00477602,0
dbar,sbar|ubar|g|u,0.00627822,0.01104732,0.00476910,0
u,cbar|sbar|ubar|dbar|g|c,0.01134408,0.01610332,0.00475924,0
dbar,sbar|g|c,0.00285014,0.00760917,0.00475902,0
ubar,cbar|sbar|g|d|u|s,0.00797849,0.01269267,0.00471417,0
dbar,sbar|g|d|u|c,0.00594801,0.01065990,0.00471188,0
u,sbar|ubar|dbar|g|s|c,0.00979888,0.01444914,0.00465026,0
dbar,sbar|ubar|g|u|s|c,0.00979938,0.01444914,0.00464976,0
dbar,g|u|c,0.00379200,0.00843998,0.00464798,0
u,cbar|sbar|ubar|dbar|d|c,0.00859508,0.01323948,0.00464440,0
u,cbar|sbar|dbar|g|s|c,0.00904903,0.01368526,0.00463623,0
u,cbar|ubar|dbar|g|d|s|c,0.01098282,0.01561538,0.00463255,0
dbar,sbar|g|u|s,0.00467713,0.00930629,0.00462916,0
ubar,cbar|sbar|g|d|s|c,0.00683348,0.01142215,0.00458867,0
u,cbar|sbar|ubar|dbar|g|d|s,0.01075616,0.01532853,0.00457237,0
dbar,cbar|sbar|ubar|g|u,0.00842969,0.01298767,0.00455798,0
ubar,cbar|sbar|dbar|g|d|u|s|c,0.01426127,0.01881675,0.00455549,0
dbar,cbar|sbar|g|c,0.00419842,0.00874632,0.00454790,0
