	Reference Fit
$\chi^2$	14.26549
$<E_{\mathrm{trn}}>$	20±0
$<E_{\mathrm{val}}>$	2±0
$<TL>$	77±0
$<\chi^2>$	14±0
$\phi$	NaN±NaN
