	mean	std
u momentum fraction	2.39912419158E-1	8.9E-11
ubar momentum fraction	4.372528219E-2	1.7E-10
d momentum fraction	1.8221872016E-1	1.5E-10
dbar momentum fraction	1.02848101544E-1	4.9E-11
s momentum fraction	1.86346581862E-1	4.2E-11
sbar momentum fraction	1.0326956146E-1	1.8E-10
cp momentum fraction	-8.165618757E-4	3.3E-12
cm momentum fraction	-5.88776E-8	1.6E-12
g momentum fraction	1.4248681597E-1	2.5E-10
T3	-2.26995E-3	2.4E-7
T8	-2.961753E-2	2.6E-7
