	mean	std
u momentum fraction	4.9757941474E-1	5.7E-10
ubar momentum fraction	-2.70162856511E-1	3.2E-11
d momentum fraction	4.034895183611E-1	6.9E-12
dbar momentum fraction	-2.9101540350E-1	1.5E-10
s momentum fraction	3.49374191903E-1	3.4E-11
sbar momentum fraction	-3.8202467637E-1	1.2E-10
cp momentum fraction	-3.1581384901E-3	6.6E-12
cm momentum fraction	-3.625455E-7	2.7E-12
g momentum fraction	6.9969146621E-1	8.1E-10
T3	3.59324816E-1	6.4E-8
T8	3.077696360	2.7E-8
