		next (Current Fit)	next (Current Fit)
		Min	Max
$\Sigma$	$\alpha$	1.1063534334416711	1.1063534334416711
$\Sigma$	$\beta$	1.6352946625287614	2.2393392444917333
$g$	$\alpha$	1.2939971189821862	1.2939971189821862
$g$	$\beta$	1.5215472558586924	1.7332090842896364
$V$	$\alpha$	0.8472024905944716	0.9913962299933161
$V$	$\beta$	0.0	0.81886118553782
$V3$	$\alpha$	0.6177239970114328	0.6638568673987514
$V3$	$\beta$	3.013877065757915	3.152032348056252
$V8$	$\alpha$	0.6456991767632861	0.7797050575585056
$V8$	$\beta$	0.18736457007271992	1.371428474792571
$T3$	$\alpha$	-0.1380096399784772	-0.0648237824710424
$T3$	$\beta$	1.5172473553606154	1.886698993039877
$T8$	$\alpha$	0.7125290079580431	0.7529703088501289
$T8$	$\beta$	0.5301093102861142	1.1570208557692085
$c^+$	$\alpha$	0.3150040814688086	0.3277646555460353
$c^+$	$\beta$	3.9202671330330565	3.9593266425436617
