	Current Fit
$\chi^2$	0.87900
$<E_{\mathrm{trn}}>$	1±0
$<E_{\mathrm{val}}>$	1±0
$<TL>$	285±0
$<\chi^2>$	1±0
$\phi$	NaN±NaN
