	Current Fit	Reference Fit
$\chi^2$	0.87900	14.26549
$<E_{\mathrm{trn}}>$	1±0	20±0
$<E_{\mathrm{val}}>$	1±0	2±0
$<TL>$	285±0	77±0
$<\chi^2>$	1±0	14±0
$\phi$	NaN±NaN	NaN±NaN
