#: table_doi: 10.17182/hepdata.89307.v1/t92
#: name: Table 92
#: description: Covariance matrix of the normalised differential cross section at parton level as a function of $m_{t\bar{t}}$.
#: data_file: d046-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1.0,1.0,3.38501e-08
2.0,1.0,-2.48737e-08
3.0,1.0,-1.70906e-09
4.0,1.0,-3.76871e-10
5.0,1.0,-2.57849e-10
6.0,1.0,-2.92852e-11
1.0,2.0,-2.48737e-08
2.0,2.0,3.59229e-08
3.0,2.0,-4.97895e-09
4.0,2.0,-1.86639e-09
5.0,2.0,-1.13607e-10
6.0,2.0,-9.24667e-11
1.0,3.0,-1.70906e-09
2.0,3.0,-4.97895e-09
3.0,3.0,3.78217e-09
4.0,3.0,-3.80573e-10
5.0,3.0,1.9848e-10
6.0,3.0,2.47043e-11
1.0,4.0,-3.76871e-10
2.0,4.0,-1.86639e-09
3.0,4.0,-3.80573e-10
4.0,4.0,1.37814e-09
5.0,4.0,-1.71122e-10
6.0,4.0,2.5326e-11
1.0,5.0,-2.57849e-10
2.0,5.0,-1.13607e-10
3.0,5.0,1.9848e-10
4.0,5.0,-1.71122e-10
5.0,5.0,1.28398e-10
6.0,5.0,-4.00628e-12
1.0,6.0,-2.92852e-11
2.0,6.0,-9.24667e-11
3.0,6.0,2.47043e-11
4.0,6.0,2.5326e-11
5.0,6.0,-4.00628e-12
6.0,6.0,5.35851e-12
1.0,1.0,3.38501e-08
2.0,1.0,-2.48737e-08
3.0,1.0,-1.70906e-09
4.0,1.0,-3.76871e-10
5.0,1.0,-2.57849e-10
6.0,1.0,-2.92852e-11
1.0,2.0,-2.48737e-08
2.0,2.0,3.59229e-08
3.0,2.0,-4.97895e-09
4.0,2.0,-1.86639e-09
5.0,2.0,-1.13607e-10
6.0,2.0,-9.24667e-11
1.0,3.0,-1.70906e-09
2.0,3.0,-4.97895e-09
3.0,3.0,3.78217e-09
4.0,3.0,-3.80573e-10
5.0,3.0,1.9848e-10
6.0,3.0,2.47043e-11
1.0,4.0,-3.76871e-10
2.0,4.0,-1.86639e-09
3.0,4.0,-3.80573e-10
4.0,4.0,1.37814e-09
5.0,4.0,-1.71122e-10
