#: table_doi: 10.17182/hepdata.32752.v1/t31
#: name: Table 31
#: description: Corrected F2D measurements averaged over all energies. Data are the statistically weighted averages given at the centre of each bin.

#: data_file: Table31.yaml
#: keyword reactions: MUON DEUT --> MUON X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Deep Inelastic Scattering
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE,MUON DEUT --> MUON X
#: X,0.35
Q**2 [GEV**2],SIG(L)/SIG(T),F2,stat +,stat -,sys +,sys -
4.5,0.138,0.2123,0.0081,-0.0081,0.0093,-0.0093
5.5,0.119,0.2192,0.0069,-0.0069,0.0074,-0.0074
7.0,0.099,0.2153,0.0049,-0.0049,0.0046,-0.0046
9.0,0.083,0.2014,0.0058,-0.0058,0.0027,-0.0027
11.5,0.07,0.1842,0.0074,-0.0074,0.0019,-0.0019
15.0,0.059,0.1716,0.0053,-0.0053,0.0022,-0.0022
20.0,0.049,0.1819,0.0039,-0.0039,0.0028,-0.0028
27.0,0.042,0.1706,0.0028,-0.0028,0.0029,-0.0029
36.0,0.036,0.1728,0.003,-0.003,0.003,-0.003
48.0,0.032,0.1659,0.0038,-0.0038,0.0032,-0.0032
65.0,0.028,0.158,0.0105,-0.0105,0.0047,-0.0047

