#: table_doi: 10.17182/hepdata.32752.v1/t27
#: name: Table 27
#: description: Corrected F2D measurements averaged over all energies. Data are the statistically weighted averages given at the centre of each bin.

#: data_file: Table27.yaml
#: keyword reactions: MUON DEUT --> MUON X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Deep Inelastic Scattering
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE,MUON DEUT --> MUON X
#: X,0.14
Q**2 [GEV**2],SIG(L)/SIG(T),F2,stat +,stat -,sys +,sys -
1.75,0.295,0.3471,0.0198,-0.0198,0.0168,-0.0168
2.5,0.27,0.3294,0.006,-0.006,0.0104,-0.0104
3.5,0.232,0.3302,0.005,-0.005,0.0067,-0.0067
4.5,0.2,0.3212,0.005,-0.005,0.005,-0.005
5.5,0.175,0.3291,0.0059,-0.0059,0.0047,-0.0047
7.0,0.15,0.3246,0.0051,-0.0051,0.0047,-0.0047
9.0,0.129,0.341,0.0082,-0.0082,0.0054,-0.0054
11.5,0.114,0.328,0.0066,-0.0066,0.0059,-0.0059
15.0,0.1,0.3326,0.0049,-0.0049,0.0061,-0.0061
20.0,0.089,0.3307,0.0039,-0.0039,0.0059,-0.0059
27.0,0.079,0.3322,0.004,-0.004,0.006,-0.006
36.0,0.072,0.3421,0.0067,-0.0067,0.0071,-0.0071

