#: table_doi: 10.17182/hepdata.32752.v1/t25
#: name: Table 25
#: description: Corrected F2D measurements averaged over all energies. Data are the statistically weighted averages given at the centre of each bin.

#: data_file: Table25.yaml
#: keyword reactions: MUON DEUT --> MUON X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Deep Inelastic Scattering
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE,MUON DEUT --> MUON X
#: X,0.09
Q**2 [GEV**2],SIG(L)/SIG(T),F2,stat +,stat -,sys +,sys -
1.25,0.096,0.3258,0.0195,-0.0195,0.0176,-0.0176
1.75,0.096,0.3221,0.0096,-0.0096,0.0116,-0.0116
2.5,0.096,0.3382,0.0054,-0.0054,0.0067,-0.0067
3.5,0.096,0.3372,0.0048,-0.0048,0.0047,-0.0047
4.5,0.096,0.3541,0.0057,-0.0057,0.0043,-0.0043
5.5,0.096,0.3607,0.0067,-0.0067,0.005,-0.005
7.0,0.096,0.3616,0.0064,-0.0064,0.0054,-0.0054
9.0,0.096,0.3656,0.0077,-0.0077,0.0066,-0.0066
11.5,0.096,0.3673,0.0059,-0.0059,0.0064,-0.0064
15.0,0.096,0.3698,0.0052,-0.0052,0.0057,-0.0057
20.0,0.096,0.3742,0.0045,-0.0045,0.0068,-0.0068
27.0,0.096,0.3876,0.0058,-0.0058,0.0094,-0.0094

