#: table_doi: 10.17182/hepdata.85696.v2/t182
#: name: Table 182
#: description: Absolute cross section at the parton level as a function of $p_\text{T}(\text{t}_\text{l})$.
#: data_file: data182.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DPTTL
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000
$p_\text{T}(\text{t}_\text{l})$ [GeV],$p_\text{T}(\text{t}_\text{l})$ [GeV] LOW,$p_\text{T}(\text{t}_\text{l})$ [GeV] HIGH,$\frac{{d}\sigma}{{d}p_\text{T}(\text{t}_\text{l})}$ [pb GeV$^{-1}$],stat +,stat -,sys +,sys -
20.0,0.0,40.0,0.69191,0.01158,-0.01158,0.05647,-0.05647
60.0,40.0,80.0,1.52540,0.01698,-0.01698,0.12346,-0.12346
100.0,80.0,120.0,1.41829,0.01470,-0.01470,0.10925,-0.10925
140.0,120.0,160.0,1.07228,0.01110,-0.01110,0.07855,-0.07855
180.0,160.0,200.0,0.603784,0.007557,-0.007557,0.040048,-0.040048
220.0,200.0,240.0,0.356457,0.005280,-0.005280,0.026937,-0.026937
260.0,240.0,280.0,0.182864,0.003718,-0.003718,0.012742,-0.012742
305.0,280.0,330.0,0.094271,0.002076,-0.002076,0.006653,-0.006653
355.0,330.0,380.0,0.044656,0.001443,-0.001443,0.004750,-0.004750
405.0,380.0,430.0,0.022369,0.001123,-0.001123,0.003527,-0.003527
465.0,430.0,500.0,0.0111828,0.0005689,-0.0005689,0.0011889,-0.0011889
650.0,500.0,800.0,0.00197920,0.00008671,-0.00008671,0.00021555,-0.00021555

