#: table_doi: 10.17182/hepdata.6187.v1/t39
#: name: Table 39
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 35.0 GeV and X =0.225.

#: data_file: Table39.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 8.157
#: E(P=1) [GeV],35.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],8.157
#: X,0.225
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,16.952,0.384,-0.384,0.534,-0.534
0.3,16.671,0.39,-0.39,0.426,-0.426
0.4,15.978,0.382,-0.382,0.457,-0.457
0.5,16.374,0.385,-0.385,0.517,-0.517
0.6,16.822,0.385,-0.385,0.576,-0.576
0.7,15.771,0.366,-0.366,0.831,-0.831

#: E(P=1) [GeV],35.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],8.157
#: X,0.225
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,11.503,0.482,-0.482,0.56,-0.56
0.3,9.531,0.453,-0.453,0.29,-0.29
0.4,7.372,0.406,-0.406,0.333,-0.333
0.5,5.262,0.329,-0.329,0.269,-0.269
0.6,3.865,0.277,-0.277,0.174,-0.174
0.7,3.245,0.248,-0.248,0.167,-0.167

