#: table_doi: 10.17182/hepdata.6187.v1/t49
#: name: Table 49
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 45.0 GeV and X =0.175.

#: data_file: Table49.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 9.236
#: E(P=1) [GeV],45.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],9.236
#: X,0.175
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,18.418,0.514,-0.514,0.56,-0.56
0.3,18.628,0.529,-0.529,0.438,-0.438
0.4,18.6,0.528,-0.528,0.494,-0.494
0.5,18.17,0.51,-0.51,0.594,-0.594
0.6,17.459,0.486,-0.486,0.751,-0.751
0.7,16.513,0.463,-0.463,0.972,-0.972
0.8,17.645,0.482,-0.482,1.121,-1.121

#: E(P=1) [GeV],45.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],9.236
#: X,0.175
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,12.857,0.693,-0.693,0.479,-0.479
0.3,11.638,0.675,-0.675,0.422,-0.422
0.4,9.993,0.621,-0.621,0.335,-0.335
0.5,7.182,0.513,-0.513,0.376,-0.376
0.6,4.7,0.395,-0.395,0.273,-0.273
0.7,3.892,0.356,-0.356,0.27,-0.27
0.8,2.72,0.297,-0.297,0.179,-0.179

