#: table_doi: 10.17182/hepdata.6187.v1/t52
#: name: Table 52
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 45.0 GeV and X =0.350.

#: data_file: Table52.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 9.236
#: E(P=1) [GeV],45.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],9.236
#: X,0.35
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,12.125,0.305,-0.305,0.666,-0.666
0.3,12.069,0.311,-0.311,0.579,-0.579
0.4,11.377,0.3,-0.3,0.49,-0.49
0.5,10.877,0.287,-0.287,0.298,-0.298
0.6,10.054,0.269,-0.269,0.25,-0.25
0.7,9.982,0.262,-0.262,0.4,-0.4

#: E(P=1) [GeV],45.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],9.236
#: X,0.35
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,7.058,0.371,-0.371,0.48,-0.48
0.3,5.38,0.33,-0.33,0.279,-0.279
0.4,4.094,0.287,-0.287,0.134,-0.134
0.5,2.898,0.233,-0.233,0.154,-0.154
0.6,2.068,0.188,-0.188,0.072,-0.072
0.7,1.214,0.14,-0.14,0.085,-0.085

