#: table_doi: 10.17182/hepdata.6187.v1/t55
#: name: Table 55
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 45.0 GeV and X =0.650.

#: data_file: Table55.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 9.236
#: E(P=1) [GeV],45.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],9.236
#: X,0.65
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,2.166,0.108,-0.108,0.427,-0.427
0.3,1.863,0.105,-0.105,0.334,-0.334
0.4,1.764,0.104,-0.104,0.263,-0.263
0.5,1.62,0.101,-0.101,0.236,-0.236
0.6,1.424,0.096,-0.096,0.225,-0.225

#: E(P=1) [GeV],45.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],9.236
#: X,0.65
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,1.281,0.128,-0.128,0.235,-0.235
0.3,0.824,0.113,-0.113,0.157,-0.157
0.4,0.589,0.095,-0.095,0.11,-0.11
0.5,0.275,0.066,-0.066,0.049,-0.049
0.6,0.09,0.037,-0.037,0.014,-0.014

