#: table_doi: 10.17182/hepdata.6187.v1/t64
#: name: Table 64
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 55.0 GeV and X =0.450.

#: data_file: Table64.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 10.201
#: E(P=1) [GeV],55.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],10.201
#: X,0.45
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,7.286,0.289,-0.289,0.792,-0.792
0.3,6.953,0.287,-0.287,0.631,-0.631
0.4,7.202,0.291,-0.291,0.627,-0.627
0.5,7.206,0.288,-0.288,0.474,-0.474
0.6,6.269,0.262,-0.262,0.339,-0.339
0.7,6.697,0.27,-0.27,0.373,-0.373

#: E(P=1) [GeV],55.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],10.201
#: X,0.45
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,4.422,0.376,-0.376,0.528,-0.528
0.3,3.254,0.322,-0.322,0.323,-0.323
0.4,2.074,0.25,-0.25,0.134,-0.134
0.5,1.191,0.187,-0.187,0.095,-0.095
0.6,0.879,0.159,-0.159,0.076,-0.076
0.7,0.692,0.145,-0.145,0.119,-0.119

