#: table_doi: 10.17182/hepdata.6187.v1/t40
#: name: Table 40
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 35.0 GeV and X =0.275.

#: data_file: Table40.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 8.157
#: E(P=1) [GeV],35.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],8.157
#: X,0.275
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,16.113,0.381,-0.381,0.557,-0.557
0.3,14.825,0.373,-0.373,0.408,-0.408
0.4,14.235,0.368,-0.368,0.353,-0.353
0.5,14.924,0.377,-0.377,0.377,-0.377
0.6,14.187,0.36,-0.36,0.427,-0.427
0.7,14.66,0.364,-0.364,0.589,-0.589

#: E(P=1) [GeV],35.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],8.157
#: X,0.275
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.2,10.276,0.472,-0.472,0.498,-0.498
0.3,7.617,0.412,-0.412,0.27,-0.27
0.4,6.14,0.367,-0.367,0.237,-0.237
0.5,4.337,0.302,-0.302,0.164,-0.164
0.6,3.419,0.26,-0.26,0.122,-0.122
0.7,2.684,0.234,-0.234,0.181,-0.181

