#: table_doi: 10.17182/hepdata.6187.v1/t118
#: name: Table 118
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 170.0 GeV and X =0.350.

#: data_file: Table118.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 17.883
#: E(P=1) [GeV],170.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],17.883
#: X,0.35
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,10.48,0.414,-0.414,0.815,-0.815
0.2,10.26,0.409,-0.409,0.576,-0.576
0.3,10.925,0.421,-0.421,0.414,-0.414
0.4,9.903,0.406,-0.406,0.335,-0.335

#: E(P=1) [GeV],170.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],17.883
#: X,0.35
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,8.34,0.979,-0.979,0.564,-0.564
0.2,7.149,0.961,-0.961,0.332,-0.332
0.3,4.163,0.687,-0.687,0.174,-0.174
0.4,3.189,0.589,-0.589,0.158,-0.158

